penalty,share_willing,provider,n_plz,n_days_with_delivery,n_routes_week,distance_km_week,vroom_cost_week_eur,parcels_week,ml_init_eur,ml_balanced_eur,n_plz_ml,n_files,n_routes,distance_km,duration_h,service_h,waiting_h,deadhead_km,first_service_km,served_area_km2,n_routes_with_hull,n_stops,json_csv_route_match,avg_duration_h_per_route,avg_service_h_per_route,avg_stops_per_route,deadhead_share_pct,avg_first_service_km,avg_served_area_km2_per_plz_day
0.0,1.0,Amazon,47,6,1026,51128.414,276526.46,227677,276448.48502644215,276996.5351200956,47,,,,,,,,,,,,False,,,,,,
0.0,1.0,DHL,48,6,2218,34062.305,487708.71,500776,501374.5408797915,503640.3669067282,48,,,,,,,,,,,,False,,,,,,
0.0,1.0,DPD,47,6,481,29113.822,136814.7,102540,140240.15179354243,140353.95205791775,47,,,,,,,,,,,,False,,,,,,
0.0,1.0,FedEx,37,6,436,21214.354,119727.27,93165,119858.77221340523,120459.38909607037,37,,,,,,,,,,,,False,,,,,,
0.0,1.0,GLS,46,6,414,25714.986,121166.43000000001,85839,123919.15312877127,124474.91955618736,46,,,,,,,,,,,,False,,,,,,
0.0,1.0,Hermes,47,6,574,28327.048,160414.42,122226,162379.662020453,163441.33180218443,47,,,,,,,,,,,,False,,,,,,
0.0,1.0,UPS,40,6,540,23615.379,142698.25,115649,144190.67345116596,144781.25989525998,40,,,,,,,,,,,,False,,,,,,
0.25,1.0,Amazon,47,6,1050,54854.827,291638.26,227677,292606.964021396,295608.33469056204,47,153.0,1050.0,54854.827,1989.923611111111,5922.4,0.0,43724.935,22756.701,3428.455445661306,1040.0,32621.0,True,1.895165343915344,5.640380952380952,31.067619047619047,79.71027782112958,21.673048571428573,3.2965917746743325
0.25,1.0,DHL,48,6,2340,42811.471,536600.86,516034,538213.2719367273,539293.5306997377,48,233.0,2340.0,42811.471,2147.04,11438.033333333333,0.0,24186.675,12223.925,5397.688772566665,2294.0,52246.0,True,0.9175384615384615,4.888048433048433,22.327350427350428,56.49578123582813,5.2238995726495725,2.3529593603167673
0.25,1.0,DPD,47,6,491,30177.408,141413.1,102540,143241.08753918213,145639.10865768604,47,116.0,491.0,30177.408,1021.4233333333333,2999.1666666666665,0.0,22458.18,11215.7,2635.8499337758403,488.0,21940.0,True,2.0802919212491515,6.108282416836388,44.68431771894094,74.42050689045261,22.84256619144603,5.4013318315078696
0.25,1.0,FedEx,37,6,438,22124.408,122828.56,93165,124166.3840829327,124655.28501506044,37,97.0,438.0,22124.408,870.8952777777778,1866.2,0.0,16143.483,8079.226,2797.4488412707155,409.0,11862.0,True,1.9883453830542872,4.260730593607306,27.08219178082192,72.96684729372194,18.445721461187215,6.839728218265808
0.25,1.0,GLS,46,6,420,26541.264,124566.06999999999,85839,126371.31557885217,128370.32819273866,46,114.0,420.0,26541.264,965.8888888888889,2662.0666666666666,0.0,19282.171,9714.049,2506.892588807237,420.0,20781.0,True,2.29973544973545,6.3382539682539685,49.47857142857143,72.6497841248254,23.128688095238097,5.968791878112469
0.25,1.0,Hermes,47,6,581,29727.346,166065.0,122226,167660.22786011783,169945.59969822923,47,130.0,581.0,29727.346,1238.1983333333333,3638.733333333333,0.0,21316.163,10597.849,2757.9968837257475,581.0,24548.0,True,2.131150315547906,6.262880091795754,42.251290877796905,71.70557035263086,18.24070395869191,4.74698258816824
0.25,1.0,UPS,40,6,549,25054.332,148482.27,115649,150198.4801016382,151905.0088630337,40,113.0,549.0,25054.332,968.5530555555556,2450.733333333333,0.0,18087.517,9079.807,2949.7510290406303,521.0,15590.0,True,1.7642132159481887,4.463995142683667,28.397085610200364,72.19317202310563,16.538810564663024,5.661710228484895
0.5,1.0,Amazon,47,6,1085,59173.861,310096.21,227677,315148.75119710003,318508.06891220924,47,213.0,1085.0,59173.861,2271.9622222222224,6560.2,0.0,44478.92,23135.761,4588.79120159545,1073.0,42889.0,True,2.093974398361495,6.04626728110599,39.52903225806452,75.16649961373993,21.323282027649768,4.276599442307036
0.5,1.0,DHL,48,6,2388,46942.792,558239.07,516034,563775.2206035123,563775.2206035123,48,288.0,2388.0,46942.792,2451.1422222222222,12525.133333333333,0.0,23378.488,11865.064,7556.831151220473,2343.0,65153.0,True,1.0264414665922204,5.24503070910106,27.28350083752094,49.80208250075965,4.968619765494138,3.2252800474692584
0.5,1.0,DPD,40,6,410,24808.036,118534.5,82938,120932.84246189572,123118.77301548704,40,132.0,418.0,25176.947,891.4505555555555,2534.9,0.0,18237.853,9085.414,2036.1866993005387,414.0,20249.0,True,2.132656831472621,6.064354066985646,48.442583732057415,72.43869957703767,21.73544019138756,4.9183253606293205
