penalty,share_willing,provider,day,n_plz,n_routes,distance_km,vroom_cost_eur,parcels,parcels_per_route,km_per_route,km_per_parcel,eur_per_parcel
0.0,1.0,Amazon,0,18,155,9154.172,43035.17,33981,219.23225806451612,59.05917419354839,0.2693908949118625,1.2664480150672435
0.0,1.0,Amazon,1,16,156,8082.524,42933.89,34627,221.96794871794873,51.81105128205128,0.2334168134692581,1.2398963236780547
0.0,1.0,Amazon,2,14,184,7237.693,47542.41,40957,222.5923913043478,39.335288043478265,0.17671443220939034,1.1607883878213736
0.0,1.0,Amazon,3,17,190,11008.148000000001,52031.75,42344,222.86315789473684,57.937621052631584,0.2599694880030229,1.228786841110901
0.0,1.0,Amazon,4,16,183,9300.969000000001,49755.880000000005,40647,222.11475409836066,50.82496721311476,0.22882301276847003,1.2240972273476518
0.0,1.0,Amazon,5,14,158,6343.477,41255.92,35121,222.28481012658227,40.14858860759494,0.1806177785370576,1.174679536459668
0.0,1.0,DHL,0,15,330,5294.24,72728.35,76840,232.84848484848484,16.043151515151514,0.06889953149401354,0.9464907600208226
0.0,1.0,DHL,1,18,398,6253.957,87955.02,89824,225.68844221105527,15.713459798994975,0.06962456581759886,0.9791928660491629
0.0,1.0,DHL,2,18,398,5980.133,87388.11,89904,225.8894472361809,15.025459798994975,0.06651687355401317,0.9720158168713294
0.0,1.0,DHL,3,15,399,6034.734,86965.78,90408,226.58646616541353,15.124646616541355,0.06675,0.9619257145385364
0.0,1.0,DHL,4,16,400,6344.376,88371.41,90805,227.0125,15.860940000000001,0.06986813501459171,0.973199823798249
0.0,1.0,DHL,5,18,348,5165.124,76408.33,78253,224.86494252873564,14.842310344827586,0.06600544388074578,0.9764268462550957
0.0,1.0,DPD,0,14,71,4349.687,20474.09,15207,214.18309859154928,61.26319718309859,0.28603189320707567,1.3463595712500822
0.0,1.0,DPD,1,16,79,4477.755,22170.18,16684,211.18987341772151,56.68044303797468,0.2683861783744905,1.3288288180292496
0.0,1.0,DPD,2,17,80,5258.1720000000005,23116.489999999998,17201,215.0125,65.72715000000001,0.3056899017498983,1.343903842799837
0.0,1.0,DPD,3,14,90,5246.415,25255.489999999998,19428,215.86666666666667,58.2935,0.27004400864731315,1.2999531603870702
0.0,1.0,DPD,4,16,90,5000.059,24969.510000000002,19278,214.2,55.55621111111111,0.2593660649444963,1.295233426704015
0.0,1.0,DPD,5,17,71,4774.46,20849.1,14742,207.6338028169014,67.24591549295775,0.3238678605345272,1.4142653642653642
0.0,1.0,FedEx,0,14,65,3534.0389999999998,18446.56,13634,209.75384615384615,54.36983076923077,0.259207789350154,1.3529822502567113
0.0,1.0,FedEx,1,17,68,3634.242,19494.74,13840,203.52941176470588,53.44473529411765,0.2625897398843931,1.4085794797687863
0.0,1.0,FedEx,2,7,78,3061.247,20048.12,17296,221.74358974358975,39.24675641025641,0.1769916165587419,1.1591188714153562
0.0,1.0,FedEx,3,13,79,4182.03,22047.47,16910,214.0506329113924,52.93708860759493,0.2473110585452395,1.3038125369603786
0.0,1.0,FedEx,4,17,80,4095.112,22560.9,16933,211.6625,51.188900000000004,0.2418420835055808,1.3323628417882243
0.0,1.0,FedEx,5,7,66,2654.87,17095.579999999998,14552,220.4848484848485,40.22530303030303,0.1824402144035184,1.1747924683892248
0.0,1.0,GLS,0,14,59,4246.2029999999995,18063.96,12649,214.38983050847457,71.96954237288135,0.3356947584789311,1.4280939204680212
0.0,1.0,GLS,1,17,71,3533.5209999999997,19950.07,13939,196.32394366197184,49.7679014084507,0.2534988880120525,1.4312411220317096
0.0,1.0,GLS,2,15,70,4716.899,20756.28,14433,206.18571428571428,67.38427142857144,0.32681348299036933,1.438112658490958
0.0,1.0,GLS,3,14,76,5212.213,22528.059999999998,16119,212.0921052631579,68.58175,0.323358334884298,1.397609032818413
