penalty,share_willing,provider,n_plz,n_days_with_delivery,n_routes_week,distance_km_week,vroom_cost_week_eur,parcels_week,ml_dd_stage3_eur,ml_express_stage3_eur,ml_total_stage3_eur,parcels_per_route,km_per_route,km_per_parcel,eur_per_parcel,surrogate_bias_pct
0.0,1.0,Amazon,47,6,1026,51126.983,276555.02,227677,276996.5351200956,0.0,276996.5351200956,221.90740740740742,49.83136744639376,0.22455927915424043,1.2146814127030838,0.15964820312991368
0.0,1.0,DHL,48,6,2273,35072.564,499817.0,516034,503952.1933223025,0.0,503952.1933223025,227.02771667399912,15.4300765508139,0.06796560691737366,0.968573776146533,0.8273414714390432
0.0,1.0,DPD,47,6,481,29106.548,136834.86,102540,140353.95205791775,0.0,140353.95205791775,213.1808731808732,60.512573804573805,0.2838555490540277,1.3344534815681683,2.5717803620493798
0.0,1.0,FedEx,37,6,436,21161.54,119693.37,93165,120459.38909607036,0.0,120459.38909607036,213.68119266055047,48.53564220183486,0.22714044973970912,1.2847460956367733,0.6399845672908718
0.0,1.0,GLS,46,6,414,25714.681,121248.18,85839,124474.91955618736,0.0,124474.91955618736,207.34057971014494,62.11275603864735,0.2995687391512017,1.412506902456925,2.6612684464108005
0.0,1.0,Hermes,47,6,574,28310.81,160447.04,122226,163441.33180218443,0.0,163441.33180218443,212.93728222996515,49.321968641114985,0.23162674062801697,1.3127079344820252,1.86621816281835
0.0,1.0,UPS,40,6,540,23607.754,142698.73,115649,144781.25989525998,0.0,144781.25989525998,214.1648148148148,43.71806296296297,0.20413279838130896,1.2338950617817708,1.459389228803907
0.25,1.0,Amazon,47,6,1050,54757.565,291614.46,227677,295608.33469056204,0.0,295608.33469056204,216.83523809523808,52.150061904761905,0.2405054748613167,1.2808252919706427,1.3695736111858174
0.25,1.0,DHL,48,6,2345,42791.685,537552.17,516034,540492.9183371536,0.0,540492.9183371536,220.05714285714285,18.24805330490405,0.08292415809810981,1.0416991322277216,0.547062871526233
0.25,1.0,DPD,47,6,491,30179.507,141404.33,102540,145639.10865768607,0.0,145639.10865768607,208.83910386965377,61.46539103869654,0.2943193582992003,1.3790162863272868,2.9948012608143486
0.25,1.0,FedEx,37,6,438,22108.524,122833.76,93165,124655.28501506044,0.0,124655.28501506044,212.7054794520548,50.476082191780826,0.23730503944614395,1.3184539258305157,1.4829188775630093
0.25,1.0,GLS,46,6,419,26478.137,124309.33,85839,128370.32819273866,0.0,128370.32819273866,204.86634844868735,63.193644391408114,0.3084627849811857,1.4481684315986907,3.2668490713759413
0.25,1.0,Hermes,47,6,581,29709.763,166060.91,122226,169945.59969822923,0.0,169945.59969822923,210.37177280550773,51.13556454388984,0.2430723659450526,1.3586381784563022,2.3393161570830987
0.25,1.0,UPS,40,6,549,25027.432,148503.5,115649,151905.0088630337,0.0,151905.0088630337,210.65391621129325,45.58730783242259,0.21640854655033767,1.2840880595595292,2.290524373522306
0.5,1.0,Amazon,47,6,1085,59221.096,310052.32,227677,318508.06891220924,0.0,318508.06891220924,209.8405529953917,54.58165529953917,0.26011013848566167,1.361807824242238,2.72720065833058
0.5,1.0,DHL,48,6,2388,46917.318,558220.34,516034,563775.2206035123,0.0,563775.2206035123,216.09463986599664,19.64711809045226,0.0909190440939938,1.0817510861687407,0.9951053742528057
0.5,1.0,DPD,47,6,503,32177.676,149083.43,102540,155116.59675631384,0.0,155116.59675631384,203.8568588469185,63.97152286282306,0.31380608543007604,1.453905110200897,4.04683924720128
0.5,1.0,FedEx,37,6,457,24174.438,131549.48,93165,134976.89243709602,0.0,134976.89243709602,203.8621444201313,52.89811378555798,0.2594798261149573,1.4120053668223047,2.605416940527629
0.5,1.0,GLS,46,6,423,27882.186,129112.46,85839,134828.40256939887,0.0,134828.40256939887,202.9290780141844,65.91533333333334,0.32481955754377384,1.5041235335919572,4.4271037585364414
0.5,1.0,Hermes,47,6,598,32063.216,175633.98,122226,181558.95532498692,0.0,181558.95532498692,204.3913043478261,53.61741806020067,0.2623272953381441,1.4369608757547494,3.373478938976905
0.5,1.0,UPS,40,6,567,27225.249,157453.1,115649,162843.34564938728,0.0,162843.34564938728,203.96649029982365,48.01631216931217,0.23541274892130498,1.3614739427059466,3.423397601817477
0.75,1.0,Amazon,47,6,1115,63023.29,325788.47,227677,337470.5458979166,0.0,337470.5458979166,204.19461883408073,56.52313004484305,0.2768100862186343,1.430923940494648,3.5857855552459017
0.75,1.0,DHL,48,6,2388,46947.246,558272.95,516034,563775.2206035123,0.0,563775.2206035123,216.09463986599664,19.659650753768844,0.09097704027254018,1.0818530368154036,0.9855878927166896
0.75,1.0,DPD,47,6,522,34809.213,158722.95,102540,166364.4170091741,0.0,166364.4170091741,196.4367816091954,66.68431609195403,0.33946960210649507,1.5479125219426566,4.814342859160622
0.75,1.0,FedEx,37,6,468,25186.991,135915.53,93165,139512.55237107942,0.0,139512.55237107942,199.07051282051282,53.81835683760684,0.27034821016476146,1.4588689958675467,2.6465131475994124
0.75,1.0,GLS,46,6,436,30135.672,136927.23,85839,145121.5759768396,0.0,145121.5759768396,196.87844036697248,69.11851376146788,0.3510720301960647,1.59516338727152,5.984453184979787
0.75,1.0,Hermes,47,6,608,33608.544,181978.43,122226,190690.12898190285,0.0,190690.12898190285,201.0296052631579,55.27721052631579,0.2749704972755388,1.4888684077037617,4.7872151561604595
0.75,1.0,UPS,40,6,583,29059.648,164792.92,115649,171532.83921466384,0.0,171532.83921466384,198.368782161235,49.845022298456264,0.25127452896263697,1.4249402934742195,4.089932513280195
