penalty,share_willing,provider,day,n_plz,n_routes,distance_km,vroom_cost_eur,parcels,parcels_per_route,km_per_route,km_per_parcel,eur_per_parcel
0.0,1.0,Amazon,0,18,155,9139.764,43034.47,33981,219.23225806451612,58.96621935483871,0.26896689326388273,1.266427415320326
0.0,1.0,Amazon,1,16,156,8078.793,42938.64,34627,221.96794871794873,51.787134615384616,0.23330906518035058,1.2400334998700435
0.0,1.0,Amazon,2,14,184,7235.561,47539.7,40957,222.5923913043478,39.32370108695652,0.176662377615548,1.160722220865786
0.0,1.0,Amazon,3,17,190,10992.378,52003.32,42344,222.86315789473684,57.85462105263158,0.2595970621575666,1.2281154354808237
0.0,1.0,Amazon,4,16,183,9331.003,49759.49,40647,222.11475409836066,50.989087431693996,0.2295619110881492,1.224186040790218
0.0,1.0,Amazon,5,14,158,6350.915,41250.84,35121,222.28481012658227,40.19566455696202,0.18082956066171235,1.1745348936533697
0.0,1.0,DHL,0,13,256,4139.271,56747.07,57832,225.90625,16.16902734375,0.07157405934430765,0.9812399709503389
0.0,1.0,DHL,1,18,393,5827.612,86384.97,88777,225.89567430025446,14.828529262086514,0.0656432634578776,0.9730557464208072
0.0,1.0,DHL,2,19,427,6608.945,93883.18,96449,225.87587822014052,15.477622950819672,0.06852269074847847,0.9733971321631121
0.0,1.0,DHL,3,13,320,4874.91,70033.19,71931,224.784375,15.23409375,0.06777203153021645,0.9736162433443161
0.0,1.0,DHL,4,18,474,7463.877,104269.20999999999,107534,226.8649789029536,15.74657594936709,0.06940946119366899,0.9696394628675581
0.0,1.0,DHL,5,18,348,5147.69,76391.09,78253,224.86494252873564,14.792212643678159,0.06578265370017762,0.9762065352127075
0.0,1.0,DPD,0,14,71,4350.766,20464.02,15207,214.18309859154928,61.278394366197176,0.28610284737292035,1.345697376208325
0.0,1.0,DPD,1,16,79,4472.961,22173.46,16684,211.18987341772151,56.61975949367089,0.26809883720930233,1.3290254135698873
0.0,1.0,DPD,2,17,80,5256.101,23119.14,17201,215.0125,65.7012625,0.30556950177315273,1.3440579036102551
0.0,1.0,DPD,3,14,90,5252.969,25240.59,19428,215.86666666666667,58.36632222222222,0.2703813568046119,1.2991862260654725
0.0,1.0,DPD,4,16,90,5014.071,24969.83,19278,214.2,55.7119,0.26009290382819794,1.2952500259363005
0.0,1.0,DPD,5,17,71,4766.954,20847.66,14742,207.6338028169014,67.14019718309859,0.3233587030253697,1.4141676841676842
0.0,1.0,FedEx,0,14,65,3541.6,18464.88,13634,209.75384615384615,54.48615384615385,0.25976235880886017,1.3543259498313043
0.0,1.0,FedEx,1,17,68,3646.589,19494.16,13840,203.52941176470588,53.62630882352941,0.2634818641618497,1.4085375722543352
0.0,1.0,FedEx,2,7,78,3070.773,20052.41,17296,221.74358974358975,39.368884615384616,0.17754237974098058,1.1593669056429232
0.0,1.0,FedEx,3,13,79,4186.759,22054.35,16910,214.0506329113924,52.99694936708861,0.24759071555292728,1.3042193968066231
0.0,1.0,FedEx,4,17,80,4106.522,22558.16,16933,211.6625,51.331525,0.24251591566763125,1.332201027579283
0.0,1.0,FedEx,5,7,66,2662.111,17103.309999999998,14552,220.4848484848485,40.33501515151515,0.18293780923584385,1.1753236668499174
0.0,1.0,GLS,0,14,59,4262.439,18060.65,12649,214.38983050847457,72.24472881355933,0.33697833820855405,1.4278322397027434
0.0,1.0,GLS,1,17,71,3525.916,19947.92,13939,196.32394366197184,49.660788732394366,0.2529532965062056,1.4310868785422195
0.0,1.0,GLS,2,15,70,4689.764,20740.78,14433,206.18571428571428,66.99662857142857,0.3249334164761311,1.4370387306866208
0.0,1.0,GLS,3,14,76,5223.9400000000005,22484.23,16119,212.0921052631579,68.73605263157896,0.32408586140579443,1.394889881506297
0.0,1.0,GLS,4,17,76,3774.1369999999997,21293.41,16309,214.5921052631579,49.65969736842105,0.23141437243239926,1.3056232754920596
0.0,1.0,GLS,5,15,62,4238.79,18639.44,12390,199.83870967741936,68.36758064516128,0.3421138014527845,1.5043938660209846
0.0,1.0,Hermes,0,14,86,4249.875,24047.17,18312,212.93023255813952,49.417151162790695,0.23208142201834864,1.3131918960244648
0.0,1.0,Hermes,1,19,87,4348.773,24483.66,18012,207.0344827586207,49.98589655172414,0.2414375416389074,1.3592971352431713
0.0,1.0,Hermes,2,15,105,5192.516,29384.31,22396,213.2952380952381,49.45253333333333,0.2318501518128237,1.3120338453295233
0.0,1.0,Hermes,3,13,104,4927.642,28469.59,22647,217.7596153846154,47.381173076923076,0.21758475736300614,1.2571020444208947
0.0,1.0,Hermes,4,19,102,4964.377,28306.83,21634,212.09803921568627,48.670362745098046,0.22947106406582232,1.3084418045668855
