plz,raumtyp_8,raumtyp_8_name,raumtyp_3,main_area_share,coverage_ok
29313,7,Umland dörflich mit geringem gewerblichem Einfluss,rural,0.3034586368260981,False
29323,7,Umland dörflich mit geringem gewerblichem Einfluss,rural,0.23392659677554734,False
29336,7,Umland dörflich mit geringem gewerblichem Einfluss,rural,0.8162091371087595,True
29339,7,Umland dörflich mit geringem gewerblichem Einfluss,rural,0.31082139613001936,False
29352,7,Umland dörflich mit geringem gewerblichem Einfluss,rural,0.21991324493754769,False
29356,7,Umland dörflich mit geringem gewerblichem Einfluss,rural,0.5769759281962968,True
29364,7,Umland dörflich mit geringem gewerblichem Einfluss,rural,0.07646985544224881,False
29690,8,Umland dörflich ohne gewerblichen Einfluss,rural,0.3870518747983879,False
30159,1,Metropoles Zentrum,urban,0.8912205218696706,True
30161,2,Zentrumsnah hochverdichtete Wohnnutzung,urban,0.7456194837726646,True
30163,2,Zentrumsnah hochverdichtete Wohnnutzung,urban,0.7793865537963875,True
30165,3,Zentrumsnah verdichtete Mischnutzung,urban,0.5151488000453127,True
30167,3,Zentrumsnah verdichtete Mischnutzung,urban,0.9846296089543711,True
30169,3,Zentrumsnah verdichtete Mischnutzung,urban,0.6047959321234337,True
30171,2,Zentrumsnah hochverdichtete Wohnnutzung,urban,0.9776054388582818,True
30173,2,Zentrumsnah hochverdichtete Wohnnutzung,urban,0.5924746833757621,True
30175,4,Städtisch mit Verdichtungsansätzen,suburban,0.8908009427353001,True
30177,2,Zentrumsnah hochverdichtete Wohnnutzung,urban,0.5263199837425353,True
30179,5,Städtisch mit gewerblicher Prägung,suburban,0.76703130513523,True
30419,5,Städtisch mit gewerblicher Prägung,suburban,0.8381674492010093,True
30449,3,Zentrumsnah verdichtete Mischnutzung,urban,0.9997190778317679,True
30451,2,Zentrumsnah hochverdichtete Wohnnutzung,urban,0.9147461107681084,True
30453,4,Städtisch mit Verdichtungsansätzen,suburban,0.31750210770164083,False
30455,4,Städtisch mit Verdichtungsansätzen,suburban,0.9967467302434695,True
30457,4,Städtisch mit Verdichtungsansätzen,suburban,0.8041563849902899,True
30459,3,Zentrumsnah verdichtete Mischnutzung,urban,0.6102355240360319,True
30519,3,Zentrumsnah verdichtete Mischnutzung,urban,0.5150600901623541,True
30521,5,Städtisch mit gewerblicher Prägung,suburban,0.9959990598298013,True
30539,7,Umland dörflich mit geringem gewerblichem Einfluss,rural,0.4584993773941337,False
30559,4,Städtisch mit Verdichtungsansätzen,suburban,0.4098331201867015,False
30625,3,Zentrumsnah verdichtete Mischnutzung,urban,0.5101767872728232,True
30627,4,Städtisch mit Verdichtungsansätzen,suburban,0.9999999999999992,True
30629,4,Städtisch mit Verdichtungsansätzen,suburban,0.7985176504913365,True
30655,4,Städtisch mit Verdichtungsansätzen,suburban,0.9103132370440118,True
30657,8,Umland dörflich ohne gewerblichen Einfluss,rural,0.6747209741882092,True
30659,5,Städtisch mit gewerblicher Prägung,suburban,0.673487034789464,True
30669,5,Städtisch mit gewerblicher Prägung,suburban,0.6320605562988809,True
30823,4,Städtisch mit Verdichtungsansätzen,suburban,0.4691854467936948,False
30826,7,Umland dörflich mit geringem gewerblichem Einfluss,rural,0.6010680178968825,True
30827,6,Umland Verstädtert,suburban,0.9841182274840206,True
30851,6,Umland Verstädtert,suburban,0.9652682923343476,True
30853,6,Umland Verstädtert,suburban,0.9985176428059881,True
30855,4,Städtisch mit Verdichtungsansätzen,suburban,0.6263964964804641,True
30880,6,Umland Verstädtert,suburban,0.31397480703725783,False
30890,8,Umland dörflich ohne gewerblichen Einfluss,rural,0.4922930803744983,False
30900,7,Umland dörflich mit geringem gewerblichem Einfluss,rural,0.5946640446856509,True
30916,6,Umland Verstädtert,suburban,0.5635394120519126,True
30926,8,Umland dörflich ohne gewerblichen Einfluss,rural,0.3864664163120905,False
30938,7,Umland dörflich mit geringem gewerblichem Einfluss,rural,0.7619586842591053,True
30952,4,Städtisch mit Verdichtungsansätzen,suburban,0.3531171193649204,False
30966,8,Umland dörflich ohne gewerblichen Einfluss,rural,0.5738267115966268,True
