model,n_oos,MAPE_pct_mean,MAPE_pct_std,MAPE_pct_min,MAPE_pct_max,bias_pct_mean,R2_mean,MAPE_pct_oos_overall,R2_oos_overall
Daganzo-LGB-Hybrid (α=1.0),2733,2.9400664415558744,0.3059740115195288,2.40434467114737,3.242038172160966,0.0753026231357621,0.9976787720211144,2.9400664415558744,0.9976787720211144
Daganzo-LGB-Hybrid (α=1.343)  ★,2733,2.9637578853609425,0.3170960281644616,2.451872930572132,3.29003552661726,-0.0877740693833065,0.997543086689866,2.9637578853609425,0.997543086689866
LGB-tweedie,2733,3.288663947401775,0.5557971073106457,2.4186370754978928,4.115387405920452,-0.4041250779562366,0.9954656897849096,3.2839152911139813,0.9951763094991842
LGB-logT,2733,3.2968778317452587,0.5479410054506648,2.4657376881369157,4.127373134827552,-0.3383916145024689,0.9948716932855358,3.292395735127976,0.994407281887078
XGBoost,2733,3.361132502594546,0.4241693126216397,2.9254675505562875,4.1312415590716345,0.0247725213068321,0.9951847951176672,3.354920795183753,0.9948484903865392
LGB-raw,2733,3.373395969680299,0.4845525222468292,2.655662414778383,4.121984404940749,-0.0841721229372639,0.9945332929225856,3.3686024620718227,0.9940348941425748
Lasso,2733,3.5294518842931666,0.3066583672885215,3.0794982923549883,3.972447437401735,0.5745014694003608,0.9977465120237274,3.525138377563701,0.9978685125362996
Ridge,2733,3.598220427270576,0.3597468270326106,3.070218936560849,4.147684373932373,0.6258852244830581,0.9976587217023724,3.593319615121489,0.9977933079642018
Linear,2733,3.710896490577486,0.4685742213571727,3.02602816528924,4.465326097217048,0.7076515219705183,0.9976077201797164,3.703845506365588,0.9976961563498232
LGB-quantile50,2733,3.867964780068073,0.3967329707870779,3.299853224811823,4.359207802940235,0.016735964759539,0.992799339466962,3.863370203423032,0.9922356781751444
Random Forest,2733,3.912519933671205,0.6418829957902097,3.380206473364185,5.080065863697712,0.0740174985376607,0.9929369854348378,3.901453089940624,0.9923210607102876
Decision Tree,2733,5.98070394532328,0.6163162607052607,5.071874731825263,6.688256083944326,-0.2284884260047448,0.9837527568167006,5.973035452124521,0.9835805867664512
Pure Daganzo (α=1.343),2733,9.69983677203184,0.0,9.69983677203184,9.69983677203184,-0.2426718369365335,0.9387518447134792,9.69983677203184,0.9387518447134792
Pure Daganzo (α=1.0),2733,25.703926834101544,0.0,25.703926834101544,25.703926834101544,-25.703926834101544,0.9202053816604412,25.703926834101544,0.9202053816604412
MLP 5-seed (log1p),2733,26.567396294604844,33.53467025565668,8.457656029805728,93.60349844180529,17.404305398938824,-2.270368479471021,26.12314835689629,-3.366892189112236
LGB-huber,2733,92.10005895459832,12.509231128697971,73.3852478495381,108.03436148609514,67.54371923895897,-0.0141280104268096,92.18062533607856,0.0094250439698011
