penalty,share_willing,consolidated_eur,conventional_eur,total_eur,baseline_eur,conventional_pct_of_total,saving_pct
0.0,0.0,0.0,1909747.7491827144,1909747.7491827144,1909747.749182716,100.00000000000001,8.534187335864502e-14
0.25,0.0,0.0,1909747.7491827144,1909747.7491827144,1909747.749182716,100.00000000000001,8.534187335864502e-14
0.5,0.0,0.0,1909747.7491827144,1909747.7491827144,1909747.749182716,100.00000000000001,8.534187335864502e-14
0.75,0.0,0.0,1909747.7491827144,1909747.7491827144,1909747.749182716,100.00000000000001,8.534187335864502e-14
1.0,0.0,0.0,1909747.7491827144,1909747.7491827144,1909747.749182716,100.00000000000001,8.534187335864502e-14
2.0,0.0,0.0,1909747.7491827144,1909747.7491827144,1909747.749182716,100.00000000000001,8.534187335864502e-14
5.0,0.0,0.0,1909747.7491827144,1909747.7491827144,1909747.749182716,100.00000000000001,8.534187335864502e-14
10.0,0.0,0.0,1909747.7491827144,1909747.7491827144,1909747.749182716,100.00000000000001,8.534187335864502e-14
0.0,0.1,180744.249905303,1579682.662173287,1760426.9120785901,1909747.749182716,89.73293076439664,7.818877501912403
0.25,0.1,182301.12756241427,1580384.1913994208,1762685.318961835,1909747.749182716,89.65776105347132,7.700620685837538
0.5,0.1,185343.71212006098,1581553.8363522855,1766897.5484723465,1909747.749182716,89.51021737053694,7.480055979723123
0.75,0.1,186707.83435839997,1578441.3039977262,1765149.1383561261,1909747.749182716,89.42254621429439,7.571607867503518
1.0,0.1,189392.1541952108,1584544.5511445291,1773936.70533974,1909747.749182716,89.32362391368754,7.111465056109994
2.0,0.1,195186.10311826703,1596817.9504555475,1792004.0535738147,1909747.749182716,89.10794299103257,6.165405648954957
5.0,0.1,203987.49761802793,1622379.1392288788,1826366.6368469067,1909747.749182716,88.83096671267506,4.366079885235762
10.0,0.1,204488.97219505548,1636833.65079814,1841322.6229931957,1909747.749182716,88.89445175758256,3.582940533314054
0.0,0.2,344950.2807522426,1402854.7015210201,1747804.9822732627,1909747.749182716,80.26380035239477,8.479798810013383
0.25,0.2,353321.8486393674,1403441.178235014,1756763.0268743814,1909747.749182716,79.88790501425827,8.01072928997063
0.5,0.2,361568.20459374133,1409645.7944016957,1771213.998995437,1909747.749182716,79.58641898727039,7.254033955351695
0.75,0.2,367174.9843023064,1413363.3193571344,1780538.3036594407,1909747.749182716,79.37842822321362,6.7657859829169045
