penalty,share_willing,provider,hub,day,fleet_before,fleet_after
0.0,0.0,DHL,Brief- und Logistikzentrum in Pattensen (Hannover),0,26.0,26.0
0.0,0.0,DHL,Brief- und Logistikzentrum in Pattensen (Hannover),1,27.0,27.0
0.0,0.0,DHL,Brief- und Logistikzentrum in Pattensen (Hannover),2,28.0,28.0
0.0,0.0,DHL,Brief- und Logistikzentrum in Pattensen (Hannover),3,27.0,27.0
0.0,0.0,DHL,Brief- und Logistikzentrum in Pattensen (Hannover),4,24.0,24.0
0.0,0.0,DHL,Brief- und Logistikzentrum in Pattensen (Hannover),5,18.0,18.0
0.0,0.0,DHL,"Deutsche Post, Bantorf",0,10.0,10.0
0.0,0.0,DHL,"Deutsche Post, Bantorf",1,11.0,11.0
0.0,0.0,DHL,"Deutsche Post, Bantorf",2,13.0,13.0
0.0,0.0,DHL,"Deutsche Post, Bantorf",3,12.0,12.0
0.0,0.0,DHL,"Deutsche Post, Bantorf",4,10.0,10.0
0.0,0.0,DHL,"Deutsche Post, Bantorf",5,8.0,8.0
0.0,0.0,DHL,"Deutsche Post, Bissendorf",0,44.0,44.0
0.0,0.0,DHL,"Deutsche Post, Bissendorf",1,48.0,48.0
0.0,0.0,DHL,"Deutsche Post, Bissendorf",2,53.0,53.0
0.0,0.0,DHL,"Deutsche Post, Bissendorf",3,49.0,49.0
0.0,0.0,DHL,"Deutsche Post, Bissendorf",4,41.0,41.0
0.0,0.0,DHL,"Deutsche Post, Bissendorf",5,32.0,32.0
0.0,0.0,DHL,"Deutsche Post, Burgdorf",0,10.0,10.0
0.0,0.0,DHL,"Deutsche Post, Burgdorf",1,10.0,10.0
0.0,0.0,DHL,"Deutsche Post, Burgdorf",2,12.0,12.0
0.0,0.0,DHL,"Deutsche Post, Burgdorf",3,11.0,11.0
0.0,0.0,DHL,"Deutsche Post, Burgdorf",4,9.0,9.0
0.0,0.0,DHL,"Deutsche Post, Burgdorf",5,7.0,7.0
0.0,0.0,DHL,"Deutsche Post, Garbsen",0,12.0,12.0
0.0,0.0,DHL,"Deutsche Post, Garbsen",1,13.0,13.0
