provider,plz,weekly_parcels,dd_cost_balanced,schedule_size_balanced,avg_wait_d_balanced,daily_cost,saving_pct,area_km2,hub_dist_km,n_stops,raumtyp_3,raumtyp_8_name,hubdist_bin
DHL,30159,23058,21973.50194568585,6,0.0,21973.50194568585,0.0,6.211813374113814,2.18,221,urban,Metropoles Zentrum,0-5km
DHL,30161,11554,10909.00812046849,6,0.0,10909.00812046849,0.0,1.7979843382791898,1.04,84,urban,Zentrumsnah hochverdichtete Wohnnutzung,0-5km
DHL,30163,10484,9914.04927442146,6,0.0,9914.04927442146,0.0,2.603733329707664,1.7,95,urban,Zentrumsnah hochverdichtete Wohnnutzung,0-5km
DHL,30165,8599,8247.99717488518,4,0.5,8565.397376626115,3.7056097666534393,4.951012974183712,1.88,94,urban,Zentrumsnah verdichtete Mischnutzung,0-5km
DHL,30167,13892,13540.33589751315,6,0.0,13540.33589751315,0.0,5.368928981069905,1.39,142,urban,Zentrumsnah verdichtete Mischnutzung,0-5km
DHL,30169,5294,5173.540319451487,3,0.6666666666666666,5441.748523674446,4.928713685612499,2.9960433745102675,2.4,76,urban,Zentrumsnah verdichtete Mischnutzung,0-5km
DHL,30173,8547,8900.020227394843,6,0.0,8900.020227394843,0.0,4.775461708125837,3.83,88,urban,Zentrumsnah hochverdichtete Wohnnutzung,0-5km
DHL,30177,6260,6259.647862080952,4,0.5,6717.193405547422,6.811558278024332,3.576189607493106,2.83,80,urban,Zentrumsnah hochverdichtete Wohnnutzung,0-5km
DHL,30179,6322,6341.715422088935,3,0.6666666666666666,7015.019470078845,9.598035342050768,8.305970462175056,3.55,96,suburban,Städtisch mit gewerblicher Prägung,0-5km
DHL,30419,14775,15260.397562746595,6,0.0,15260.397562746595,0.0,23.77191867081394,5.16,274,suburban,Städtisch mit gewerblicher Prägung,5-10km
DHL,30449,7431,7432.014762814106,6,0.0,7432.014762814106,0.0,2.190643461651216,1.56,91,urban,Zentrumsnah verdichtete Mischnutzung,0-5km
DHL,30453,8150,8728.871611104647,6,0.0,8728.871611104647,0.0,9.157258958740023,2.98,148,suburban,Städtisch mit Verdichtungsansätzen,0-5km
DHL,30455,6748,7560.480077937329,6,0.0,7560.480077937329,0.0,6.967819653017212,3.04,160,suburban,Städtisch mit Verdichtungsansätzen,0-5km
DHL,30457,6736,7333.849598031452,6,0.0,7333.849598031452,0.0,6.068989648841514,2.4,139,suburban,Städtisch mit Verdichtungsansätzen,0-5km
DHL,30459,6561,6748.368740605874,6,0.0,6748.368740605874,0.0,7.274391190340525,1.24,125,urban,Zentrumsnah verdichtete Mischnutzung,0-5km
DHL,30519,12645,13335.327593044716,6,0.0,13335.327593044716,0.0,13.714884737746763,5.03,248,urban,Zentrumsnah verdichtete Mischnutzung,5-10km
DHL,30539,8372,9296.282509988963,6,0.0,9296.282509988963,0.0,19.21423828970633,3.99,164,rural,Umland dörflich mit geringem gewerblichem Einfluss,0-5km
DHL,30559,12320,12462.48292952298,6,0.0,12462.48292952298,0.0,19.484913733542946,1.93,224,suburban,Städtisch mit Verdichtungsansätzen,0-5km
DHL,30625,7084,7500.267925116456,4,0.3333333333333333,8084.182917612831,7.222931475538637,8.86389555258122,4.99,117,urban,Zentrumsnah verdichtete Mischnutzung,0-5km
DHL,30627,4809,5566.459185356654,6,0.0,5566.459185356654,0.0,3.3903855235675273,4.61,82,suburban,Städtisch mit Verdichtungsansätzen,0-5km
DHL,30629,5907,6830.019894903581,6,0.0,6830.019894903581,0.0,14.669809711755617,4.28,124,suburban,Städtisch mit Verdichtungsansätzen,0-5km
DHL,30655,7945,8770.048460462032,6,0.0,8770.048460462032,0.0,4.462508901721823,5.25,139,suburban,Städtisch mit Verdichtungsansätzen,5-10km
DHL,30657,9056,9388.556542997389,3,0.6666666666666666,9997.913539537092,6.094841630005906,12.670949194485747,6.56,140,rural,Umland dörflich ohne gewerblichen Einfluss,5-10km
DHL,30659,6829,7841.281218861646,6,0.0,7841.281218861646,0.0,11.3882150903338,7.01,131,suburban,Städtisch mit gewerblicher Prägung,5-10km
DHL,30823,9437,10202.29191336214,6,0.0,10202.29191336214,0.0,12.528872220645557,3.26,227,suburban,Städtisch mit Verdichtungsansätzen,0-5km
DHL,30826,8281,9289.171862330428,6,0.0,9289.171862330428,0.0,56.38950461206911,1.44,239,rural,Umland dörflich mit geringem gewerblichem Einfluss,0-5km
DHL,30827,8048,8499.259441991915,6,0.0,8499.259441991915,0.0,10.610683695060029,3.25,153,suburban,Umland Verstädtert,0-5km
DHL,30851,6654,7091.396611882496,6,0.0,7091.396611882496,0.0,4.12190647126244,5.02,97,suburban,Umland Verstädtert,5-10km
DHL,30853,7164,8087.121413003322,6,0.0,8087.121413003322,0.0,8.711379660258004,6.98,132,suburban,Umland Verstädtert,5-10km
DHL,30855,32854,33181.974645551454,6,0.0,33181.974645551454,0.0,59.06346106841505,5.9,278,suburban,Städtisch mit Verdichtungsansätzen,5-10km
DHL,30880,16161,17626.17972557684,6,0.0,17626.17972557684,0.0,33.960996603727956,5.11,360,suburban,Umland Verstädtert,5-10km
DHL,30890,13989,16098.04426372436,6,0.0,16098.04426372436,0.0,102.53407734275534,4.73,504,rural,Umland dörflich ohne gewerblichen Einfluss,0-5km
DHL,30900,14609,17593.529073393336,6,0.0,17593.529073393336,0.0,173.55971997363926,4.94,590,rural,Umland dörflich mit geringem gewerblichem Einfluss,0-5km
DHL,30916,14499,17062.590954336305,6,0.0,17062.590954336305,0.0,59.876286869182046,11.0,355,suburban,Umland Verstädtert,10-20km
DHL,30926,13519,14775.4174568136,6,0.0,14775.4174568136,0.0,53.8021301528445,0.37,429,rural,Umland dörflich ohne gewerblichen Einfluss,0-5km
DHL,30938,12030,14888.20103197316,6,0.0,14888.20103197316,0.0,153.22446344831192,10.53,355,rural,Umland dörflich mit geringem gewerblichem Einfluss,10-20km
DHL,30952,9709,11029.332668750209,6,0.0,11029.332668750209,0.0,37.755537878390655,5.68,286,suburban,Städtisch mit Verdichtungsansätzen,5-10km
DHL,30966,9182,10564.896592403224,6,0.0,10564.896592403224,0.0,31.832385676522556,5.52,237,rural,Umland dörflich ohne gewerblichen Einfluss,5-10km
DHL,30974,6515,7602.589230059956,6,0.0,7602.589230059956,0.0,53.82702268136371,1.4,244,rural,Umland dörflich mit geringem gewerblichem Einfluss,0-5km
DHL,30982,6551,8026.683955967339,6,0.0,8026.683955967339,0.0,66.6831619829418,2.77,239,rural,Umland dörflich ohne gewerblichen Einfluss,0-5km
DHL,30989,6841,8197.588934134921,6,0.0,8197.588934134921,0.0,43.13135688268341,5.72,271,rural,Umland dörflich ohne gewerblichen Einfluss,5-10km
DHL,31275,18743,20490.51279819747,6,0.0,20490.51279819747,0.0,129.47251256919432,2.93,571,suburban,Umland Verstädtert,0-5km
