provider,plz,weekly_parcels,schedule_size,weekly_cost,cost_per_parcel
DHL,30159,23058,2,21232.85341365036,0.9208454078259328
DHL,30159,23058,3,20971.921716557532,0.9095290882365137
DHL,30159,23058,4,21118.0220864859,0.9158652999603565
DHL,30159,23058,5,21359.7458388258,0.9263485921947175
DHL,30159,23058,6,21861.036216698867,0.9480890023722295
DHL,30161,11554,2,10197.724633131797,0.8826142143960357
DHL,30161,11554,3,10142.84805851783,0.877864640688751
DHL,30161,11554,4,10239.144228408702,0.8861990850275837
DHL,30161,11554,5,10588.356218531491,0.9164234220643492
DHL,30161,11554,6,10984.814826700076,0.9507369592089385
DHL,30163,10484,2,9271.03451354301,0.8843031775603787
DHL,30163,10484,3,9444.748926989292,0.9008726561416722
DHL,30163,10484,4,9665.894577440475,0.9219662893399918
DHL,30163,10484,5,9833.849802738845,0.9379864367358685
DHL,30163,10484,6,10101.751223520625,0.9635397962152447
DHL,30165,8599,2,7840.154845540849,0.9117519299384637
DHL,30165,8599,3,8009.501938568938,0.9314457423617791
DHL,30165,8599,4,8247.830788641728,0.9591616221237037
DHL,30165,8599,5,8530.093075130899,0.9919866350890684
DHL,30165,8599,6,8821.961477975849,1.0259287682260552
DHL,30167,13892,2,12349.584174121508,0.8889709310481938
DHL,30167,13892,3,12661.144113748842,0.9113982229879674
DHL,30167,13892,4,12955.292609723201,0.9325721717336022
DHL,30167,13892,5,13288.268652726589,0.9565410777948883
DHL,30167,13892,6,13584.594723104387,0.9778717767855158
DHL,30169,5294,2,5083.889100500205,0.960311503683454
DHL,30169,5294,3,5091.101933267124,0.9616739579272996
DHL,30169,5294,4,5145.054115264063,0.9718651521088142
DHL,30169,5294,5,5226.123723448389,0.9871786406211539
DHL,30169,5294,6,5465.340989298538,1.0323651283147977
DHL,30173,8547,2,8147.3008005792035,0.9532351469029137
DHL,30173,8547,3,8224.604557142346,0.9622796954653499
DHL,30173,8547,4,8499.72568157722,0.994468899213434
DHL,30173,8547,5,8587.100700407089,1.004691786639416
DHL,30173,8547,6,8880.676376040345,1.0390401750368954
DHL,30177,6260,2,5920.89172125774,0.9458293484437285
DHL,30177,6260,3,6005.7975545968575,0.9593925806065268
DHL,30177,6260,4,6201.28172671218,0.9906200841393259
DHL,30177,6260,5,6472.556636688058,1.033954734295217
DHL,30177,6260,6,6742.357655429061,1.0770539385669426
DHL,30179,6322,2,6085.2464595783,0.9625508477662608
DHL,30179,6322,3,6177.05771440442,0.9770733493205347
DHL,30179,6322,4,6455.145085023948,1.0210605955431744
DHL,30179,6322,5,6739.966787393433,1.066113063491527
DHL,30179,6322,6,7051.701976204091,1.1154226472958069
DHL,30419,14775,2,14678.978213728595,0.9935010635349303
DHL,30419,14775,3,14815.269477996346,1.002725514585201
DHL,30419,14775,4,14979.328850337928,1.0138293638130578
DHL,30419,14775,5,15224.070232758526,1.0303939243829798
DHL,30419,14775,6,15410.704382941049,1.0430256773564162
