provider,cluster_id,baseline_routes,baseline_distance_km,baseline_parcels,baseline_cost_eur,saml_routes,saml_distance_km,saml_parcels,saml_cost_eur,fixed_routes,fixed_distance_km,fixed_parcels,fixed_cost_eur,actual_saving_abs,actual_saving_pct,actual_fixed_saving_pct,routes_delta_pct,distance_delta_pct,raumtyp_8,raumtyp_8_name,raumtyp_3,main_area_share,einwohner,n_members
Amazon,30159,38,1558.94,7321,10169.55,36.0,1353.58,7321.0,9210.95,38.0,1487.0700000000002,7321.0,9851.65,958.6000000000004,9.426179132803306,3.1259986921741834,-5.2631578947368425,-13.17305348506037,2,Zentrumsnah hochverdichtete Wohnnutzung,urban,0.3828375675061389,59203.0,4
Amazon,30161,24,934.15,4512,6193.16,22.0,807.69,4512.0,5492.99,22.0,819.4000000000001,4512.0,5548.04,700.1700000000001,11.305537076387498,10.416653210961769,-8.333333333333334,-13.537440453888554,2,Zentrumsnah hochverdichtete Wohnnutzung,urban,0.7456194837726648,50684.0,1
Amazon,30163,73,2906.05,13730,18913.489999999998,68.0,2529.3,13730.0,16963.63,72.0,2731.81,13730.0,18097.87,1949.8599999999983,10.309361201978044,4.312371751591055,-6.8493150684931505,-12.964333029369762,5,Städtisch mit gewerblicher Prägung,suburban,0.450856370637735,74338.0,4
Amazon,30167,17,602.72,3232,4404.56,16.0,509.22,3232.0,3952.73,16.0,530.7,3232.0,4016.57,451.8300000000008,10.258232377354386,8.808825399131813,-5.882352941176471,-15.513007698433766,3,Zentrumsnah verdichtete Mischnutzung,urban,0.8033868629180803,33453.0,2
Amazon,30419,32,1010.62,6859,8394.95,32.0,777.8699999999999,6859.0,7644.49,33.0,875.15,6859.0,8086.37,750.460000000001,8.939421914365193,3.6757812732654846,0.0,-23.03041697175992,5,Städtisch mit gewerblicher Prägung,suburban,0.8381674492010093,40538.0,1
Amazon,30449,34,1400.96,6228,9181.9,31.0,1163.16,6228.0,8000.66,33.0,1253.55,6228.0,8558.29,1181.2399999999998,12.864875461505786,6.7917315588276805,-8.823529411764707,-16.974074920054818,3,Zentrumsnah verdichtete Mischnutzung,urban,0.6773891431704135,52274.0,3
Amazon,30453,18,702.47,3593,4943.95,18.0,535.32,3593.0,4470.780000000001,18.0,583.94,3593.0,4607.35,473.1699999999992,9.570687405819216,6.808321281566347,0.0,-23.794610445997687,4,Städtisch mit Verdichtungsansätzen,suburban,0.3175021077016408,17864.0,1
Amazon,30455,17,675.72,3165,4742.4,16.0,532.38,3165.0,4112.860000000001,17.0,596.4,3165.0,4465.52,629.539999999999,13.274713225371102,5.838394062078256,-5.882352941176471,-21.212928431894873,4,Städtisch mit Verdichtungsansätzen,suburban,0.9967467302434696,21665.0,1
Amazon,30457,17,806.95,3134,4871.15,16.0,713.48,3134.0,4379.389999999999,16.0,723.0600000000001,3134.0,4396.62,491.7600000000002,10.095357359145176,9.741642117364478,-5.882352941176471,-11.58312163083215,4,Städtisch mit Verdichtungsansätzen,suburban,0.8041563849902899,18093.0,1
Amazon,30519,27,1437.98,5505,7909.63,26.0,1312.27,5505.0,7170.969999999999,27.0,1390.49,5505.0,7563.69,738.6600000000008,9.338742773050075,4.3736559105798944,-3.7037037037037037,-8.742124368906385,3,Zentrumsnah verdichtete Mischnutzung,urban,0.454986530655141,31405.0,2
Amazon,30539,17,1442.18,3516,5352.17,18.0,1393.5,3516.0,5191.0,18.0,1419.04,3516.0,5311.29,161.17000000000007,3.0113019578974525,0.763802345590669,5.882352941176471,-3.3754455061088118,7,Umland dörflich mit geringem gewerblichem Einfluss,rural,0.4584993773941337,19961.0,1
Amazon,30559,76,4763.38,14770,21995.809999999998,74.0,4126.2,14770.0,19738.370000000003,75.0,4332.87,14770.0,20492.89,2257.4399999999987,10.26304555276662,6.832755874868888,-2.6315789473684212,-13.37663591819255,4,Städtisch mit Verdichtungsansätzen,suburban,0.5490105390351068,71927.0,4
Amazon,30625,29,1815.06,5270,8368.68,28.0,1644.24,5270.0,7631.56,28.0,1664.29,5270.0,7718.83,737.1200000000008,8.808079649359275,7.765262861048581,-3.4482758620689653,-9.41125913192952,4,Städtisch mit Verdichtungsansätzen,suburban,0.6299961068049671,33250.0,2
Amazon,30657,18,866.52,3559,4960.84,18.0,807.25,3559.0,4765.58,19.0,824.71,3559.0,4936.53,195.26000000000025,3.9360269631755953,0.4900379774393127,0.0,-6.840003692932648,8,Umland dörflich ohne gewerblichen Einfluss,rural,0.6747209741882092,16117.0,1
Amazon,30823,22,421.3,4370,5550.42,21.0,262.19,4370.0,4782.280000000001,22.0,313.65,4370.0,5154.81,768.1399999999994,13.839313060993572,7.127568724528949,-4.545454545454546,-37.76643721813435,4,Städtisch mit Verdichtungsansätzen,suburban,0.4691854467936948,26279.0,1
Amazon,30827,37,1045.6,7350,10033.24,36.0,679.0,7350.0,8597.73,37.0,812.03,7350.0,9199.48,1435.5099999999993,14.30754173128521,8.309977634343445,-2.7027027027027026,-35.061208875286916,7,Umland dörflich mit geringem gewerblichem Einfluss,rural,0.5079119318618089,33231.0,2
Amazon,30853,32,1314.92,5943,8495.29,30.0,1105.9,5943.0,7492.639999999999,33.0,1225.17,5943.0,8272.67,1002.6500000000001,11.802422283406468,2.620510894860573,-6.25,-15.896024092720468,6,Umland Verstädtert,suburban,0.9878383271989196,30958.0,2
Amazon,30855,62,2356.13,13591,15884.48,61.0,2056.47,13591.0,14713.6,62.0,2143.68,13591.0,15169.64,1170.880000000001,7.3712202099155855,4.500241745401802,-1.6129032258064515,-12.718313505621518,4,Städtisch mit Verdichtungsansätzen,suburban,0.6159833575115979,19799.0,2
Amazon,30880,33,2865.29,6971,10786.36,32.0,2662.46,6971.0,9575.83,34.0,2855.27,6971.0,10391.45,1210.5300000000009,11.222785072999608,3.6611980315880412,-3.0303030303030303,-7.078864617543074,6,Umland Verstädtert,suburban,0.3139748070372578,38878.0,1
Amazon,30890,31,2039.21,6502,9819.87,31.0,1688.14,6502.0,8812.82,31.0,1692.66,6502.0,8835.95,1007.0500000000012,10.255227411360854,10.01968457830908,0.0,-17.215980698407712,8,Umland dörflich ohne gewerblichen Einfluss,rural,0.4922930803744983,33084.0,1
Amazon,30900,33,2569.96,6667,11224.39,30.0,1866.43,6667.0,8739.14,32.0,2154.79,6667.0,9701.6,2485.25,22.141515040015538,13.56679516659702,-9.090909090909092,-27.375134243334525,7,Umland dörflich mit geringem gewerblichem Einfluss,rural,0.5946640446856509,28240.0,1
Amazon,30916,31,1964.77,6164,9504.28,29.0,1584.88,6164.0,7948.86,29.0,1686.49,6164.0,8287.779999999999,1555.420000000001,16.365469030794554,12.79949664782605,-6.451612903225806,-19.33508756750153,6,Umland Verstädtert,suburban,0.5635394120519126,22743.0,1
Amazon,30926,31,1073.34,6338,8682.19,31.0,714.13,6338.0,7566.03,32.0,823.72,6338.0,8077.27,1116.1600000000008,12.855742617933963,6.967366528491084,0.0,-33.466562319488695,8,Umland dörflich ohne gewerblichen Einfluss,rural,0.3864664163120905,31847.0,1
Amazon,30938,25,2292.3,5072,8427.6,24.0,1925.87,5072.0,7088.85,26.0,2150.64,5072.0,7919.74,1338.75,15.885305425032037,6.026152166690405,-4.0,-15.98525498407714,7,Umland dörflich mit geringem gewerblichem Einfluss,rural,0.7619586842591053,20356.0,1
Amazon,30952,22,1286.98,4476,7135.91,20.0,1008.73,4476.0,5773.13,23.0,1206.79,4476.0,6785.26,1362.7799999999995,19.09749422288117,4.913879238947795,-9.090909090909092,-21.620382601128224,4,Städtisch mit Verdichtungsansätzen,suburban,0.3531171193649204,23156.0,1
Amazon,30966,22,1314.11,4221,6777.63,20.0,1042.62,4221.0,5633.57,21.0,1142.97,4221.0,6068.81,1144.0600000000004,16.879941808567306,10.458228023660183,-9.090909090909092,-20.659609926109688,8,Umland dörflich ohne gewerblichen Einfluss,rural,0.5738267115966268,18413.0,1
Amazon,30974,15,1053.74,2971,4984.34,15.0,829.27,2971.0,4366.62,16.0,942.65,2971.0,4795.72,617.7200000000003,12.393215551106069,3.784252278135117,0.0,-21.30221876364189,7,Umland dörflich mit geringem gewerblichem Einfluss,rural,0.5280758746275026,13901.0,1
Amazon,30982,16,1294.8,3044,5544.48,16.0,1184.96,3044.0,5084.27,17.0,1256.48,3044.0,5371.63,460.2099999999991,8.300327532969714,3.11751507805961,0.0,-8.483163422922454,8,Umland dörflich ohne gewerblichen Einfluss,rural,0.5160662609374094,13750.0,1
Amazon,30989,17,897.58,3112,5230.89,16.0,788.51,3112.0,4726.46,17.0,791.71,3112.0,4855.34,504.4300000000003,9.643292059286283,7.1794665917272225,-5.882352941176471,-12.151563091869255,8,Umland dörflich ohne gewerblichen Einfluss,rural,0.7182255388514937,14121.0,1
Amazon,31275,40,3749.73,8588,13290.93,39.0,3135.86,8588.0,11428.07,41.0,3432.83,8588.0,12418.52,1862.8600000000008,14.016024461794627,6.56395000199384,-2.5,-16.371045381934163,6,Umland Verstädtert,suburban,0.5607199205262813,42686.0,1
Amazon,31303,29,2745.41,5793,9870.3,28.0,2285.95,5793.0,8367.82,28.0,2400.4700000000003,5793.0,8726.48,1502.4799999999996,15.22223235362653,11.588502882384525,-3.4482758620689653,-16.735569550631784,8,Umland dörflich ohne gewerblichen Einfluss,rural,0.4973843134686194,28877.0,1
Amazon,31311,22,2699.82,3965,8419.38,19.0,2059.8,3965.0,6397.24,20.0,2277.6,3965.0,7055.620000000001,2022.1399999999996,24.017683012288312,16.19786730139272,-13.636363636363637,-23.70602484610085,7,Umland dörflich mit geringem gewerblichem Einfluss,rural,0.7093788057512238,19975.0,1
Amazon,31319,25,2470.02,5228,8525.8,25.0,2121.74,5228.0,7515.44,25.0,2224.99,5228.0,7798.799999999999,1010.3599999999988,11.850618123812426,8.527059044312558,0.0,-14.100290685905387,8,Umland dörflich ohne gewerblichen Einfluss,rural,0.5327857182637412,23036.0,1
Amazon,31515,40,1987.59,8733,12131.51,40.0,1466.74,8733.0,10387.26,40.0,1609.44,8733.0,10881.87,1744.25,14.37784744026094,10.300778715922416,0.0,-26.20510266201782,7,Umland dörflich mit geringem gewerblichem Einfluss,rural,0.4382487580737642,40666.0,1
Amazon,31535,46,3398.04,8625,15832.28,39.0,2185.61,8625.0,11497.65,41.0,2529.78,8625.0,12725.61,4334.630000000001,27.37843191252303,19.62237908879833,-15.217391304347826,-35.6802745111888,7,Umland dörflich mit geringem gewerblichem Einfluss,rural,0.4384989309139261,43634.0,1
Amazon,31832,28,2875.15,5466,10526.15,26.0,2272.61,5466.0,8543.41,27.0,2480.37,5466.0,9212.74,1982.74,18.836326672145084,12.477591522066472,-7.142857142857143,-20.956819644192475,7,Umland dörflich mit geringem gewerblichem Einfluss,rural,0.5244252875044891,28627.0,1
DHL,30159,90,997.99,19130,19353.08,87.0,864.84,19130.0,18321.84,86.0,887.26,19130.0,18221.04,1031.2399999999998,5.32855752159347,5.849404849253973,-3.3333333333333335,-13.34181705227507,2,Zentrumsnah hochverdichtete Wohnnutzung,urban,0.3828375675061389,59203.0,4
DHL,30161,53,277.8,11554,10814.18,52.0,222.64,11554.0,10428.69,53.0,234.31,11554.0,10661.92,385.4900000000016,3.5646715701051748,1.4079662073314871,-1.8867924528301887,-19.856011519078482,2,Zentrumsnah hochverdichtete Wohnnutzung,urban,0.7456194837726648,50684.0,1
DHL,30163,151,1329.1399999999999,31665,32074.0,144.0,1060.76,31665.0,29855.82,146.0,1112.6200000000001,31665.0,30409.98,2218.1800000000003,6.915819667020017,5.188065099457506,-4.635761589403973,-20.192003852114894,5,Städtisch mit gewerblicher Prägung,suburban,0.450856370637735,74338.0,4
DHL,30167,38,198.64,7997,7770.23,37.0,133.42000000000002,7997.0,7370.860000000001,37.0,157.43,7997.0,7438.08,399.369999999999,5.139744898156155,4.274648240785661,-2.6315789473684212,-32.83326621022955,3,Zentrumsnah verdichtete Mischnutzung,urban,0.8033868629180803,33453.0,2
DHL,30419,66,1140.08,14775,15166.02,67.0,918.93,14775.0,14585.23,66.0,980.3,14775.0,14614.42,580.7900000000009,3.8295478972070516,3.637078152343201,1.5151515151515151,-19.397761560592237,5,Städtisch mit gewerblicher Prägung,suburban,0.8381674492010093,40538.0,1
DHL,30449,91,1030.11,19286,19738.760000000002,89.0,837.12,19286.0,18713.559999999998,90.0,873.46,19286.0,19027.46,1025.2000000000007,5.193841963730266,3.6035698291078204,-2.197802197802198,-18.734892390133083,3,Zentrumsnah verdichtete Mischnutzung,urban,0.6773891431704135,52274.0,3
DHL,30453,38,686.22,8150,8781.5,38.0,568.75,8150.0,8349.71,39.0,602.54,8150.0,8654.369999999999,431.7900000000009,4.917041507715092,1.4477025565108583,0.0,-17.11841683425141,4,Städtisch mit Verdichtungsansätzen,suburban,0.3175021077016408,17864.0,1
DHL,30455,33,533.92,6748,7563.08,31.0,405.74,6748.0,6756.16,31.0,438.16,6748.0,6869.77,806.9200000000001,10.669198263141471,9.167032478831368,-6.0606060606060606,-24.00734192388372,4,Städtisch mit Verdichtungsansätzen,suburban,0.9967467302434696,21665.0,1
DHL,30457,33,370.26,6736,7266.86,32.0,274.66,6736.0,6714.200000000001,33.0,314.13,6736.0,7028.31,552.659999999999,7.605210503573744,3.2827108269596397,-3.0303030303030303,-25.81969426889212,4,Städtisch mit Verdichtungsansätzen,suburban,0.8041563849902899,18093.0,1
DHL,30519,57,1190.45,12633,13292.4,57.0,1075.26,12633.0,12797.19,57.0,1098.42,12633.0,12922.94,495.21000000000095,3.725512322831085,2.7794830128494414,0.0,-9.676172875803271,3,Zentrumsnah verdichtete Mischnutzung,urban,0.454986530655141,31405.0,2
DHL,30539,40,761.08,8372,9331.61,38.0,612.66,8372.0,8467.43,39.0,646.09,8372.0,8778.05,864.1800000000003,9.26078136570217,5.932095319028563,-5.0,-19.501235086981666,7,Umland dörflich mit geringem gewerblichem Einfluss,rural,0.4584993773941337,19961.0,1
DHL,30559,154,2978.1800000000003,33001,35772.92,152.0,2480.2799999999997,33001.0,33653.11,154.0,2651.6099999999997,33001.0,34530.44,2119.8100000000013,5.925739358151355,3.473241770590704,-1.2987012987012987,-16.71826417476447,4,Städtisch mit Verdichtungsansätzen,suburban,0.5490105390351068,71927.0,4
DHL,30625,59,1073.71,11893,13717.71,54.0,854.51,11893.0,12087.8,55.0,905.6600000000001,11893.0,12439.48,1629.9099999999999,11.881793681306867,9.318100470122197,-8.474576271186441,-20.415195909510018,4,Städtisch mit Verdichtungsansätzen,suburban,0.6299961068049671,33250.0,2
DHL,30657,42,862.52,9056,9929.22,41.0,738.1,9056.0,9302.17,42.0,766.62,9056.0,9614.85,627.0499999999993,6.315198978368888,3.1661097246309278,-2.380952380952381,-14.425172749617396,8,Umland dörflich ohne gewerblichen Einfluss,rural,0.6747209741882092,16117.0,1
DHL,30823,44,704.7,9437,10151.37,43.0,515.56,9437.0,9296.8,44.0,572.06,9437.0,9680.05,854.5700000000015,8.418272607539686,4.642920118171257,-2.272727272727273,-26.839789981552446,4,Städtisch mit Verdichtungsansätzen,suburban,0.4691854467936948,26279.0,1
DHL,30827,77,1138.42,16329,17641.2,76.0,743.3299999999999,16329.0,16116.32,77.0,876.72,16329.0,16710.82,1524.8800000000012,8.643856427000436,5.27390426955083,-1.2987012987012987,-34.70511761915638,7,Umland dörflich mit geringem gewerblichem Einfluss,rural,0.5079119318618089,33231.0,2
DHL,30853,64,1209.48,13818,14984.880000000001,64.0,1049.6999999999998,13818.0,14404.98,66.0,1094.99,13818.0,14890.539999999999,579.9000000000005,3.869900860066957,0.6295679378146636,0.0,-13.210635975791266,6,Umland Verstädtert,suburban,0.9878383271989196,30958.0,2
DHL,30855,145,3139.66,32845,32838.02,145.0,2888.36,32845.0,31967.02,146.0,2947.19,32845.0,32351.050000000003,870.9999999999964,2.6524132697403693,1.4829456830831882,0.0,-8.004051394099989,4,Städtisch mit Verdichtungsansätzen,suburban,0.6159833575115979,19799.0,2
DHL,30880,74,1711.85,16161,17884.54,73.0,1575.67,16161.0,17189.370000000003,74.0,1515.05,16161.0,17146.12,695.1699999999983,3.88698842687594,4.128817403187345,-1.3513513513513513,-7.955136256097195,6,Umland Verstädtert,suburban,0.3139748070372578,38878.0,1
DHL,30890,64,1781.82,13989,16036.11,63.0,1266.74,13989.0,14305.91,64.0,1387.67,13989.0,14886.53,1730.2000000000007,10.789399673611621,7.168696148878999,-1.5625,-28.90752152293722,8,Umland dörflich ohne gewerblichen Einfluss,rural,0.4922930803744983,33084.0,1
DHL,30900,68,1880.84,14609,17464.56,66.0,1201.77,14609.0,15048.6,67.0,1366.21,14609.0,15739.13,2415.9600000000028,13.833500529071449,9.879607616796541,-2.9411764705882355,-36.10461283256417,7,Umland dörflich mit geringem gewerblichem Einfluss,rural,0.5946640446856509,28240.0,1
DHL,30916,65,2756.3,14499,17006.08,64.0,2402.07,14499.0,15610.12,67.0,2550.09,14499.0,16563.89,1395.9600000000028,8.208593632395006,2.6001876975764096,-1.5384615384615385,-12.851648949678916,6,Umland Verstädtert,suburban,0.5635394120519126,22743.0,1
DHL,30926,63,1056.63,13519,14625.11,61.0,693.35,13519.0,13037.47,61.0,798.95,13519.0,13385.490000000002,1587.6399999999994,10.855576470877834,8.475970437145422,-3.1746031746031744,-34.38100375722817,8,Umland dörflich ohne gewerblichen Einfluss,rural,0.3864664163120905,31847.0,1
