days,pattern,size,n_chosen
"(0, 3)",Mo-Do,2,98
"(1, 4)",Di-Fr,2,96
"(2, 5)",Mi-Sa,2,85
"(0, 1, 3)",Mo-Di-Do,3,5
"(0, 2, 4)",Mo-Mi-Fr,3,5
"(1, 2, 5)",Di-Mi-Sa,3,4
"(0, 2, 5)",Mo-Mi-Sa,3,4
"(0, 1, 4)",Mo-Di-Fr,3,3
"(0, 3, 5)",Mo-Do-Sa,3,2
"(0, 1, 2, 3)",Mo-Di-Mi-Do,4,2
"(0, 2, 3)",Mo-Mi-Do,3,1
"(1, 4, 5)",Di-Fr-Sa,3,1
"(1, 3, 5)",Di-Do-Sa,3,1
"(2, 4, 5)",Mi-Fr-Sa,3,1
"(1, 2, 4)",Di-Mi-Fr,3,1
"(0, 1, 4, 5)",Mo-Di-Fr-Sa,4,1
"(0, 1, 2, 5)",Mo-Di-Mi-Sa,4,1
"(0, 2, 3, 5)",Mo-Mi-Do-Sa,4,1
"(1, 3, 4)",Di-Do-Fr,3,0
"(0, 1, 2, 4)",Mo-Di-Mi-Fr,4,0
"(2, 3, 5)",Mi-Do-Sa,3,0
"(0, 1, 3, 4)",Mo-Di-Do-Fr,4,0
"(0, 3, 4)",Mo-Do-Fr,3,0
"(0, 1, 3, 5)",Mo-Di-Do-Sa,4,0
"(0, 2, 3, 4)",Mo-Mi-Do-Fr,4,0
"(0, 2, 4, 5)",Mo-Mi-Fr-Sa,4,0
"(0, 3, 4, 5)",Mo-Do-Fr-Sa,4,0
"(1, 2, 3, 4)",Di-Mi-Do-Fr,4,0
"(1, 2, 3, 5)",Di-Mi-Do-Sa,4,0
"(1, 2, 4, 5)",Di-Mi-Fr-Sa,4,0
"(1, 3, 4, 5)",Di-Do-Fr-Sa,4,0
"(2, 3, 4, 5)",Mi-Do-Fr-Sa,4,0
"(0, 1, 2, 3, 4)",Mo-Di-Mi-Do-Fr,5,0
"(0, 1, 2, 3, 5)",Mo-Di-Mi-Do-Sa,5,0
"(0, 1, 2, 4, 5)",Mo-Di-Mi-Fr-Sa,5,0
"(0, 1, 3, 4, 5)",Mo-Di-Do-Fr-Sa,5,0
"(0, 2, 3, 4, 5)",Mo-Mi-Do-Fr-Sa,5,0
"(1, 2, 3, 4, 5)",Di-Mi-Do-Fr-Sa,5,0
"(0, 1, 2, 3, 4, 5)",Mo-Di-Mi-Do-Fr-Sa,6,0
