penalty,cost_eur,avg_wait_d,n_daily_plz,dcost,dwait,marg_cost_per_wait_d
0.0,1473343.223141946,0.9954268365093063,0,,,
0.025,1474000.1867361416,0.9661924478610012,0,-656.9635941956658,-0.029234388648305076,22472.28776011208
0.05,1479764.6707663906,0.853985074114831,0,-5764.484030249063,-0.11220737374617018,51373.48676646854
0.075,1485545.204185054,0.7802478763072683,0,-5780.533418663312,-0.07373719780756272,78393.72244317159
0.1,1490796.3330094852,0.732845523949765,0,-5251.128824431216,-0.04740235235750334,110777.81087376802
0.125,1500689.5224963664,0.6627888657541188,3,-9893.189486881252,-0.07005665819564622,141216.97696816604
0.15,1510553.4999323527,0.6059535967530394,5,-9863.977435986279,-0.05683526900107938,173553.80926936315
0.2,1528632.852788114,0.5248423888805321,12,-18079.352855761303,-0.08111120787250725,222895.86519509004
0.25,1549856.8973630175,0.4495648376123862,19,-21224.044574903557,-0.07527755126814595,281943.8759279171
0.3,1573802.3252377808,0.38031411388112607,38,-23945.427874763263,-0.06925072373126012,345778.7382509936
0.4,1611375.947791689,0.29416370444847323,56,-37573.622553908266,-0.08615040943265284,436139.80248441006
0.5,1642891.014441865,0.23765856773781532,69,-31515.066650175955,-0.056505136710657905,557738.0833808625
0.6,1665989.2839584695,0.20368199103285753,84,-23098.269516604487,-0.033976576704957795,679829.2163799431
0.75,1703842.2939056754,0.1591799735577494,106,-37853.009947205894,-0.044502017475108124,850590.8741862928
1.0,1759782.929882727,0.10678011500531748,148,-55940.63597705169,-0.05239985855243193,1067572.2706594106
1.5,1845348.4372585313,0.05178722696792887,205,-85565.50737580424,-0.05499288803738861,1555937.693572847
2.0,1917334.1876122258,0.018927452703469422,262,-71985.75035369443,-0.03285977426445945,2190695.218242961
3.0,1965663.8626268727,0.0026392110603553607,301,-48329.67501464696,-0.01628824164311406,2967151.155636163
5.0,1977116.5677979258,0.0,312,-11452.705171053065,-0.0026392110603553607,4339442.7005436225
