provider,plz,weekly_parcels,n_stops,area_km2,hub_dist_km,b2c_share,parcels_per_stop,parcels_per_km2,schedule_size,schedule_weekdays,schedule_idx,ml_cost_eur,avg_wait_d,max_wait_d,service_penalty_eur
DHL,30159,23058,221,6.211813374113814,2.18,0.8312082574377656,104.33484162895928,3711.9595537252417,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,22501.867159776666,0.0,0.0,0.0
DHL,30161,11554,84,1.7979843382791898,1.04,0.8250822226068893,137.54761904761904,6426.084896300083,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,10882.848785454402,0.0,0.0,0.0
DHL,30163,10484,95,2.603733329707664,1.7,0.8595001907668829,110.3578947368421,4026.52601953561,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,10075.852191185479,0.0,0.0,0.0
DHL,30165,8599,94,4.951012974183712,1.88,0.8620769856960112,91.47872340425532,1736.8162929158436,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,8667.53312312595,0.0,0.0,0.0
DHL,30167,13892,142,5.368928981069905,1.39,0.8507774258566081,97.83098591549296,2587.4806779864766,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,13817.821206729343,0.0,0.0,0.0
DHL,30169,5294,76,2.9960433745102675,2.4,0.8734416320362675,69.65789473684211,1766.9971152755277,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,5477.53264263941,0.0,0.0,0.0
DHL,30173,8547,88,4.775461708125837,3.83,0.8868608868608868,97.125,1789.7745856608133,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,8884.063740724523,0.0,0.0,0.0
DHL,30177,6260,80,3.576189607493106,2.83,0.9033546325878594,78.25,1750.4664704811985,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,6738.070123519964,0.0,0.0,0.0
DHL,30179,6322,96,8.305970462175056,3.55,0.9036697247706422,65.85416666666667,761.1392345771092,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,7062.782768948065,0.0,0.0,0.0
DHL,30419,14775,274,23.77191867081394,5.16,0.9084940778341793,53.92335766423358,621.5316569352082,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,15659.343902009403,0.0,0.0,0.0
DHL,30449,7431,91,2.190643461651216,1.56,0.8620643251244785,81.65934065934066,3392.154008666851,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,7421.995399940381,0.0,0.0,0.0
DHL,30453,8150,148,9.157258958740023,2.98,0.8957055214723927,55.067567567567565,890.0043164359071,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,8825.581572181956,0.0,0.0,0.0
DHL,30455,6748,160,6.967819653017212,3.04,0.9093064611736811,42.175,968.4521609393225,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,7827.684517592077,0.0,0.0,0.0
DHL,30457,6736,139,6.068989648841514,2.4,0.8980106888361045,48.460431654676256,1109.9046776732944,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,7693.964050950312,0.0,0.0,0.0
