schedule_size,schedule_weekdays,size
2,"Mon,Thu",20
2,"Tue,Fri",19
2,"Wed,Sat",13
3,"Mon,Wed,Fri",56
3,"Tue,Thu,Sat",51
3,"Wed,Fri,Sat",5
3,"Tue,Wed,Sat",3
3,"Wed,Thu,Sat",3
3,"Mon,Tue,Fri",2
3,"Mon,Wed,Sat",2
3,"Mon,Wed,Thu",2
3,"Mon,Thu,Sat",1
3,"Mon,Tue,Thu",1
3,"Tue,Wed,Fri",1
4,"Tue,Thu,Fri,Sat",6
4,"Mon,Tue,Thu,Fri",4
4,"Mon,Tue,Thu,Sat",4
4,"Mon,Tue,Wed,Fri",4
4,"Mon,Wed,Thu,Fri",4
4,"Mon,Wed,Fri,Sat",3
4,"Tue,Wed,Fri,Sat",3
4,"Tue,Wed,Thu,Sat",3
4,"Mon,Tue,Fri,Sat",1
4,"Mon,Wed,Thu,Sat",1
4,"Tue,Wed,Thu,Fri",1
4,"Wed,Thu,Fri,Sat",1
5,"Mon,Tue,Wed,Thu,Fri",8
5,"Mon,Wed,Thu,Fri,Sat",7
5,"Mon,Tue,Thu,Fri,Sat",5
5,"Mon,Tue,Wed,Fri,Sat",4
5,"Mon,Tue,Wed,Thu,Sat",3
5,"Tue,Wed,Thu,Fri,Sat",2
6,"Mon,Tue,Wed,Thu,Fri,Sat",69
