window,fast_share,share_willing,total_cost_eur,cost_batched,cost_express_standalone,cost_express_bundled,n_express_standalone,n_express_bundled,pct_bundles_in_dist
1,0.0,1.0,1897391.2916743283,1897391.2916743283,0.0,0.0,0,0,0.0
1,0.1,0.9,1897391.2916743283,1897391.2916743283,0.0,0.0,0,0,0.0
1,0.2,0.8,1897391.2916743283,1897391.2916743283,0.0,0.0,0,0,0.0
1,0.30000000000000004,0.7,1897391.2916743283,1897391.2916743283,0.0,0.0,0,0,0.0
1,0.4,0.6,1897391.2916743283,1897391.2916743283,0.0,0.0,0,0,0.0
1,0.5,0.5,1897391.2916743283,1897391.2916743283,0.0,0.0,0,0,0.0
1,0.6000000000000001,0.3999999999999999,1897391.2916743283,1897391.2916743283,0.0,0.0,0,0,0.0
1,0.7000000000000001,0.29999999999999993,1897391.2916743283,1897391.2916743283,0.0,0.0,0,0,0.0
1,0.8,0.19999999999999996,1897391.2916743283,1897391.2916743283,0.0,0.0,0,0,0.0
1,0.9,0.09999999999999998,1897391.2916743283,1897391.2916743283,0.0,0.0,0,0,0.0
1,1.0,0.0,1897391.2916743283,1897391.2916743283,0.0,0.0,0,0,0.0
2,0.0,1.0,1651544.985302038,1651544.985302038,0.0,0.0,0,0,0.0
2,0.1,0.9,1824128.9375295897,1762035.6958229463,526.1397518690557,61567.10195477446,1,186,0.0
2,0.2,0.8,1819476.7331488177,1745010.5418374306,8569.92635347235,65896.26495791489,17,184,0.9950248756218906
2,0.30000000000000004,0.7,1818996.3749561056,1734096.4654800077,26135.704657111433,58764.204818986684,43,144,11.764705882352942
2,0.4,0.6,1823719.1510626439,1732917.7258584532,38612.53423243614,52188.890971754554,68,116,19.02173913043478
2,0.5,0.5,1835745.6480881192,1748404.250460463,40125.81243939204,47215.585188263954,69,85,20.77922077922078
2,0.6000000000000001,0.3999999999999999,1839892.6259308497,1740008.918764163,68610.95818920204,31272.748977484745,133,59,38.020833333333336
2,0.7000000000000001,0.29999999999999993,1850880.2066269198,1757734.863427863,71991.74966492057,21153.593534136184,141,48,49.20634920634921
2,0.8,0.19999999999999996,1859879.2836635946,1773712.8466470828,68495.85037230847,17670.58664420344,121,40,46.58385093167702
2,0.9,0.09999999999999998,1870573.7812592948,1801113.4843180818,56651.25736498076,12809.039576232253,96,29,41.6
2,1.0,0.0,1882664.7636169728,1839376.7419589972,35173.90778995728,8114.113868018487,60,18,39.743589743589745
3,0.0,1.0,1625696.7047696817,1625696.7047696817,0.0,0.0,0,0,0.0
3,0.1,0.9,1819712.8926858816,1752297.8075651135,526.1397518690557,66888.94536889899,1,203,0.0
3,0.2,0.8,1816186.413827319,1738514.2855049693,8569.92635347235,69102.20196887742,17,193,0.9523809523809523
3,0.30000000000000004,0.7,1814115.374122153,1725147.2103334423,26070.82248352091,62897.34130518968,43,155,13.131313131313131
3,0.4,0.6,1822557.2772299107,1730188.4094752944,38613.07894505287,53755.7888095634,68,119,17.647058823529413
3,0.5,0.5,1834298.9201178767,1747007.6792836487,40692.00046917186,46599.24036505611,70,82,21.05263157894737
3,0.6000000000000001,0.3999999999999999,1839279.8253345876,1739045.6855171826,69193.59233962029,31040.547477784912,134,58,38.020833333333336
3,0.7000000000000001,0.29999999999999993,1850265.9996596128,1755910.4737194607,72762.87092707354,21592.65501307859,143,49,49.479166666666664
3,0.8,0.19999999999999996,1859483.7634939589,1772395.0853596996,69418.09149005596,17670.58664420344,123,40,46.625766871165645
3,0.9,0.09999999999999998,1870573.7812592948,1801113.4843180818,56651.25736498076,12809.039576232253,96,29,41.6
3,1.0,0.0,1882558.3814145003,1839264.0007435249,35173.90778995728,8120.47288101808,60,18,39.743589743589745
