window,share_willing,provider,plz,weekly_parcels,schedule_size_batched,schedule_idx,schedule_weekdays,cost_eur_batched,avg_wait_d_batched
1,1.0,DHL,30159,23058,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",22501.867159776666,0.0
1,1.0,DHL,30161,11554,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",10882.848785454402,0.0
1,1.0,DHL,30163,10484,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",10075.852191185479,0.0
1,1.0,DHL,30165,8599,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",8667.53312312595,0.0
1,1.0,DHL,30167,13892,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",13817.821206729343,0.0
1,1.0,DHL,30169,5294,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",5477.53264263941,0.0
1,1.0,DHL,30173,8547,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",8884.063740724523,0.0
1,1.0,DHL,30177,6260,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",6738.070123519964,0.0
1,1.0,DHL,30179,6322,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",7062.782768948065,0.0
1,1.0,DHL,30419,14775,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",15659.343902009403,0.0
1,1.0,DHL,30449,7431,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",7421.995399940381,0.0
1,1.0,DHL,30453,8150,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",8825.581572181956,0.0
1,1.0,DHL,30455,6748,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",7827.684517592077,0.0
1,1.0,DHL,30457,6736,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",7693.964050950312,0.0
1,1.0,DHL,30459,6561,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",7001.644343569056,0.0
1,1.0,DHL,30519,12645,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",13562.186111790037,0.0
1,1.0,DHL,30539,8372,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",9477.277832572632,0.0
1,1.0,DHL,30559,12320,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",12670.738260552309,0.0
1,1.0,DHL,30625,7084,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",8243.621539715603,0.0
1,1.0,DHL,30627,4809,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",5570.080759148582,0.0
1,1.0,DHL,30629,5907,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",7000.474482562675,0.0
1,1.0,DHL,30655,7945,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",8938.04341794529,0.0
1,1.0,DHL,30657,9056,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",10095.689379164967,0.0
1,1.0,DHL,30659,6829,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",7875.655606051029,0.0
1,1.0,DHL,30823,9437,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",10534.552246019997,0.0
1,1.0,DHL,30826,8281,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",9662.903026463164,0.0
1,1.0,DHL,30827,8048,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",8703.588424211048,0.0
1,1.0,DHL,30851,6654,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",7136.098952344345,0.0
1,1.0,DHL,30853,7164,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",8202.746343443938,0.0
1,1.0,DHL,30855,32854,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",33536.81470477988,0.0
1,1.0,DHL,30880,16161,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",17694.27622157903,0.0
1,1.0,DHL,30890,13989,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",16049.247290904019,0.0
1,1.0,DHL,30900,14609,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",17217.69303144944,0.0
1,1.0,DHL,30916,14499,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",16908.634445810625,0.0
1,1.0,DHL,30926,13519,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",14614.850403759548,0.0
1,1.0,DHL,30938,12030,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",14730.411022356773,0.0
1,1.0,DHL,30952,9709,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",11406.507523933218,0.0
1,1.0,DHL,30966,9182,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",10787.50811133629,0.0
