penalty_eur_per_day,provider,plz,schedule_size,base_cost_eur,wait_days_avg,weekly_parcels,penalty_cost_eur,combined_cost_eur
0.0,Amazon,30159,3,10976.753143868193,0.45215655837676016,9019,0.0,10976.753143868193
0.0,Amazon,30161,2,5968.951868259646,0.9230939716312057,4512,0.0,5968.951868259646
0.0,Amazon,30163,2,5760.431640561828,0.9827701946744238,4469,0.0,5760.431640561828
0.0,Amazon,30165,5,4671.090587079447,0.17935086737548964,3574,0.0,4671.090587079447
0.0,Amazon,30167,2,6920.986102951083,0.9738219895287958,5730,0.0,6920.986102951083
0.0,Amazon,30173,5,5014.938001856896,0.17930300611864858,3759,0.0,5014.938001856896
0.0,Amazon,30177,3,4191.568316680418,0.5602202339986235,2906,0.0,4191.568316680418
0.0,Amazon,30179,4,4035.4999544436064,0.33872707659115425,2781,0.0,4035.4999544436064
0.0,Amazon,30419,3,8147.733441928311,0.6613208922583467,6859,0.0,8147.733441928311
0.0,Amazon,30449,3,6722.114460015092,0.6481516587677725,5275,0.0,6722.114460015092
0.0,Amazon,30453,6,4953.369950665476,0.0,3593,0.0,4953.369950665476
0.0,Amazon,30455,4,4571.708636039579,0.2821484992101106,3165,0.0,4571.708636039579
0.0,Amazon,30457,4,4722.911977089586,0.27345245692405873,3134,0.0,4722.911977089586
0.0,Amazon,30459,3,4590.592946303043,0.49109167476514415,3087,0.0,4590.592946303043
0.0,Amazon,30519,3,7611.753809220482,0.6579520697167756,5508,0.0,7611.753809220482
0.0,Amazon,30539,6,5232.56483537078,0.0,3516,0.0,5232.56483537078
0.0,Amazon,30559,4,7576.275486576162,0.5222574036133358,5369,0.0,7576.275486576162
0.0,Amazon,30625,5,4766.217988678431,0.10251572327044026,3180,0.0,4766.217988678431
0.0,Amazon,30627,4,3424.9373526387744,0.3990430622009569,2090,0.0,3424.9373526387744
0.0,Amazon,30629,4,4340.577242827008,0.5255712731229597,2757,0.0,4340.577242827008
0.0,Amazon,30655,6,5134.034576870573,0.0,3642,0.0,5134.034576870573
0.0,Amazon,30657,4,5110.020297739442,0.47541444225906154,3559,0.0,5110.020297739442
0.0,Amazon,30659,3,4715.11995759199,0.6249167221852099,3002,0.0,4715.11995759199
0.0,Amazon,30823,3,5214.27948866386,0.6297482837528604,4370,0.0,5214.27948866386
0.0,Amazon,30826,3,5190.440686014619,0.6754932502596054,3852,0.0,5190.440686014619
0.0,Amazon,30827,5,4382.684897666632,0.1538021726700972,3498,0.0,4382.684897666632
0.0,Amazon,30851,3,4318.027982765958,0.4492084432717678,3032,0.0,4318.027982765958
0.0,Amazon,30853,5,4285.259797816084,0.17588457574716593,2911,0.0,4285.259797816084
0.0,Amazon,30855,2,14485.559683004662,0.9156856974690994,13592,0.0,14485.559683004662
0.0,Amazon,30880,2,10021.778287176328,0.9058958542533353,6971,0.0,10021.778287176328
0.0,Amazon,30890,2,9000.330765277007,0.9152568440479852,6502,0.0,9000.330765277007
0.0,Amazon,30900,2,10072.201423521949,0.9298035098245088,6667,0.0,10072.201423521949
0.0,Amazon,30916,2,8822.506844712309,0.9795587280986372,6164,0.0,8822.506844712309
0.0,Amazon,30926,2,7911.164831056404,0.9165351846008204,6338,0.0,7911.164831056404
0.0,Amazon,30938,2,7982.155394577955,0.926064668769716,5072,0.0,7982.155394577955
0.0,Amazon,30952,2,6552.6608833137625,0.9159964253798034,4476,0.0,6552.6608833137625
0.0,Amazon,30966,2,6385.754233854614,0.9282160625444208,4221,0.0,6385.754233854614
0.0,Amazon,30974,3,5113.627706330487,0.6782228205991249,2971,0.0,5113.627706330487
0.0,Amazon,30982,4,5342.562210249235,0.29533508541392905,3044,0.0,5342.562210249235
0.0,Amazon,30989,3,4958.651736748132,0.6365681233933161,3112,0.0,4958.651736748132
0.0,Amazon,31275,2,12317.568905032529,0.9601769911504425,8588,0.0,12317.568905032529
0.0,Amazon,31303,2,8829.870976432165,0.9390643880545486,5793,0.0,8829.870976432165
0.0,Amazon,31311,2,7322.66637827066,1.023203026481715,3965,0.0,7322.66637827066
0.0,Amazon,31319,2,8066.44297364128,0.9351568477429227,5228,0.0,8066.44297364128
0.0,Amazon,31515,2,10971.04745689562,0.9738921332875301,8733,0.0,10971.04745689562
0.0,Amazon,31535,2,12244.46753652652,0.936463768115942,8625,0.0,12244.46753652652
0.0,Amazon,31832,2,9289.218750508839,0.9286498353457738,5466,0.0,9289.218750508839
0.0,DHL,30159,2,19786.57510893332,0.9270968861132796,23058,0.0,19786.57510893332
0.0,DHL,30161,3,10716.54371827875,0.6340661242859615,11554,0.0,10716.54371827875
0.0,DHL,30163,4,9848.199796456198,0.40461655856543305,10484,0.0,9848.199796456198
0.0,DHL,30165,2,8379.20000257737,0.9897662518897546,8599,0.0,8379.20000257737
0.0,DHL,30167,3,12451.21074077504,0.6320904117477685,13892,0.0,12451.21074077504
0.0,DHL,30169,5,5414.29850263043,0.17680392897619948,5294,0.0,5414.29850263043
0.0,DHL,30173,3,8663.177447540042,0.6578916578916579,8547,0.0,8663.177447540042
0.0,DHL,30177,3,6490.4480063925,0.6611821086261981,6260,0.0,6490.4480063925
0.0,DHL,30179,3,6811.8526338631145,0.45333755140778237,6322,0.0,6811.8526338631145
0.0,DHL,30419,2,14274.677669982646,0.915668358714044,14775,0.0,14274.677669982646
0.0,DHL,30449,4,7408.292387641335,0.32835419189880233,7431,0.0,7408.292387641335
0.0,DHL,30453,2,8381.916590103867,0.9296932515337424,8150,0.0,8381.916590103867
0.0,DHL,30455,2,7233.545039781516,0.9220509780675756,6748,0.0,7233.545039781516
0.0,DHL,30457,2,7085.695084796705,0.9380938242280285,6736,0.0,7085.695084796705
0.0,DHL,30459,4,6544.98177761358,0.3362292333485749,6561,0.0,6544.98177761358
0.0,DHL,30519,3,12733.204462468568,0.6293396599446421,12645,0.0,12733.204462468568
0.0,DHL,30539,3,8852.53388244602,0.630315336837076,8372,0.0,8852.53388244602
0.0,DHL,30559,2,12098.380237073276,0.9831168831168832,12320,0.0,12098.380237073276
0.0,DHL,30625,2,7708.731635333178,0.9808018068887634,7084,0.0,7708.731635333178
0.0,DHL,30627,3,5439.423730788187,0.6494073611977542,4809,0.0,5439.423730788187
0.0,DHL,30629,4,6462.977515370818,0.3341797866937532,5907,0.0,6462.977515370818
0.0,DHL,30655,3,8347.18804348115,0.6615481434864695,7945,0.0,8347.18804348115
0.0,DHL,30657,2,9679.664426450036,0.9162985865724381,9056,0.0,9679.664426450036
0.0,DHL,30659,4,7642.423401498499,0.5210133255235027,6829,0.0,7642.423401498499
0.0,DHL,30823,2,9630.344786530162,0.9758397795909717,9437,0.0,9630.344786530162
0.0,DHL,30826,2,8540.963736054777,0.903876343436783,8281,0.0,8540.963736054777
0.0,DHL,30827,2,8229.298026860728,0.9137673956262425,8048,0.0,8229.298026860728
0.0,DHL,30851,4,7037.366384719253,0.3295761947700631,6654,0.0,7037.366384719253
0.0,DHL,30853,4,7821.976308337273,0.45058626465661644,7164,0.0,7821.976308337273
0.0,DHL,30855,2,25180.861501529704,0.9299628660132708,32854,0.0,25180.861501529704
0.0,DHL,30880,2,15613.584565633237,0.9306354804776932,16161,0.0,15613.584565633237
0.0,DHL,30890,2,14071.887955473552,0.9701193795124741,13989,0.0,14071.887955473552
0.0,DHL,30900,2,15299.826173157213,0.9260729687179137,14609,0.0,15299.826173157213
0.0,DHL,30916,2,15534.632942104688,0.9222015311400786,14499,0.0,15534.632942104688
0.0,DHL,30926,2,13153.628708813181,0.9166358458465863,13519,0.0,13153.628708813181
0.0,DHL,30938,2,13147.428642582652,0.9177888611803824,12030,0.0,13147.428642582652
0.0,DHL,30952,2,10372.98772604301,0.9856833865485631,9709,0.0,10372.98772604301
0.0,DHL,30966,2,10014.377243027006,0.9287736876497495,9182,0.0,10014.377243027006
0.0,DHL,30974,2,7032.425999007415,0.9229470452801228,6515,0.0,7032.425999007415
0.0,DHL,30982,2,7497.227505882252,0.9771027324072661,6551,0.0,7497.227505882252
0.0,DHL,30989,3,7752.187063291045,0.6671539248647859,6841,0.0,7752.187063291045
0.0,DHL,31275,2,18258.768341917606,0.959878354585712,18743,0.0,18258.768341917606
0.0,DHL,31303,2,12804.226300000164,0.9645378817929393,12605,0.0,12804.226300000164
0.0,DHL,31311,2,9499.438873761736,0.9187361548326921,8577,0.0,9499.438873761736
0.0,DHL,31319,2,11281.19337284846,0.9327983951855566,10967,0.0,11281.19337284846
0.0,DHL,31515,2,18671.599575666187,0.9718448615576065,19286,0.0,18671.599575666187
0.0,DHL,31535,2,19066.52297681913,0.9163114444504398,18533,0.0,19066.52297681913
0.0,DHL,31832,2,12575.013067559023,0.9805074777348345,11902,0.0,12575.013067559023
0.0,DPD,30159,3,6500.614645094402,0.6636002508885637,4783,0.0,6500.614645094402
0.0,DPD,30161,4,3469.101832021823,0.3192030521407376,2359,0.0,3469.101832021823
0.0,DPD,30163,4,3236.2669573024905,0.3741690408357075,2106,0.0,3236.2669573024905
0.0,DPD,30165,3,3001.7561699907433,0.7046101309049516,1757,0.0,3001.7561699907433
0.0,DPD,30167,3,4432.773719123075,0.6327903682719547,2824,0.0,4432.773719123075
0.0,DPD,30173,3,2904.603104207399,0.6680327868852459,1708,0.0,2904.603104207399
0.0,DPD,30177,4,2132.007218864732,0.5512,1250,0.0,2132.007218864732
0.0,DPD,30179,4,2326.6945447247954,0.5414012738853503,1256,0.0,2326.6945447247954
0.0,DPD,30419,3,4921.732187023243,0.6385584324702589,2858,0.0,4921.732187023243
0.0,DPD,30449,4,4083.9941201785264,0.33672670321064996,2554,0.0,4083.9941201785264
0.0,DPD,30453,3,3377.8241519705934,0.6275478690549722,1619,0.0,3377.8241519705934
0.0,DPD,30455,4,2909.8066199118553,0.334597875569044,1318,0.0,2909.8066199118553
0.0,DPD,30457,4,2856.602010148979,0.31760299625468164,1335,0.0,2856.602010148979
0.0,DPD,30459,4,2475.8078898758968,0.5015576323987538,1284,0.0,2475.8078898758968
0.0,DPD,30519,3,4094.257193531561,0.6523622047244094,2540,0.0,4094.257193531561
0.0,DPD,30539,3,3060.480563230546,0.6613569321533923,1695,0.0,3060.480563230546
0.0,DPD,30559,4,3731.3301433476427,0.33360356708552896,2467,0.0,3731.3301433476427
0.0,DPD,30625,3,2684.1408315302183,0.7067615658362989,1405,0.0,2684.1408315302183
0.0,DPD,30627,6,1702.8075328692416,0.0,971,0.0,1702.8075328692416
0.0,DPD,30629,5,1981.6673410646054,0.16965046888320545,1173,0.0,1981.6673410646054
0.0,DPD,30655,3,2747.026529859529,0.631099544567339,1537,0.0,2747.026529859529
