max_hold,fast_share,share_willing,provider,plz,schedule_size,cost,schedule_days
1,0.0,1.0,Amazon,30159,6,11687.758591886499,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30161,6,6198.076199381901,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30163,6,5887.274416922319,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30165,6,4696.3632925800775,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30167,6,7124.980941103149,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30173,6,5184.403263125373,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30177,6,4295.3755099319715,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30179,6,4357.442561887894,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30419,6,8685.332684443236,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30449,6,6930.958642387422,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30453,6,4953.369950665476,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30455,6,4733.969914501729,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30457,6,4861.272760888753,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30459,6,4721.113690320388,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30519,6,7989.408733574742,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30539,6,5232.56483537078,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30559,6,7936.80103693811,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30625,6,4833.5787808117675,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30627,6,3579.2895236259706,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30629,6,4483.669440977608,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30655,6,5134.034576870573,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30657,6,5211.641795669652,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30659,6,4808.930135185106,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30823,6,5492.8333908221575,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30826,6,5309.400426435489,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30827,6,4406.282253025094,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30851,6,4461.2266132019995,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30853,6,4295.473522234693,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30855,6,16425.713131956443,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30880,6,10836.49486333059,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30890,6,9949.99293278101,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30900,6,11733.296749095527,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30916,6,9943.63733060065,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30926,6,8780.42111083368,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30938,6,8932.3523870359,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30952,6,6792.522249966714,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30966,6,6753.487289755222,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30974,6,5185.498167842292,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30982,6,5545.048582884666,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,30989,6,5239.8327189564525,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,31275,6,14011.694458512184,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,31303,6,10292.592352807045,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,31311,6,8647.386430120578,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,31319,6,9006.598190484336,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,31515,6,12109.355310297444,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,31535,6,14649.713985934406,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,Amazon,31832,6,10630.27600706838,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30159,6,21425.132453693925,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30161,6,10896.842490106472,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30163,6,9949.803363797471,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30165,6,8802.876567972335,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30167,6,13153.912834635783,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30169,6,5443.510365830029,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30173,6,9027.275959686367,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30177,6,6801.611388745387,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30179,6,7025.737693154014,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30419,6,15488.762582133773,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30449,6,7469.2241491514915,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30453,6,8951.952033907073,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30455,6,7533.4371442876145,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30457,6,7270.894456096109,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30459,6,6651.002162382179,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30519,6,13272.168787294228,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30539,6,9349.501232628127,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30559,6,12373.65925832722,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30625,6,8096.802842174482,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30627,6,5606.363090833329,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30629,6,6766.974846046077,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30655,6,8869.786833512764,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30657,6,9992.167827012736,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30659,6,7898.329610710899,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30823,6,10208.877886178407,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30826,6,9412.56972551855,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30827,6,8625.617953447312,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30851,6,7140.564548697186,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30853,6,7954.150022203881,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30855,6,32552.34432866005,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30880,6,18007.36898635567,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30890,6,15947.754646399117,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30900,6,18229.388928763692,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30916,6,17734.269551035948,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30926,6,14434.82758928225,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30938,6,14554.779241554967,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30952,6,11365.430112451975,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30966,6,10624.352717702506,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30974,6,7703.025014293544,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30982,6,8234.46117714012,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,30989,6,8649.900505408892,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,31275,6,20741.197757085225,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,31303,6,13739.115623819012,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,31311,6,10648.959166588764,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,31319,6,12210.553941257438,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,31515,6,20814.204304395767,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,31535,6,21637.256139647427,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DHL,31832,6,14443.460212265947,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DPD,30159,6,6745.43642982665,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DPD,30161,6,3572.3066172774998,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DPD,30163,6,3334.016654677259,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DPD,30165,6,3220.920457383544,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DPD,30167,6,4575.293145375498,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DPD,30173,6,3028.2905288174024,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DPD,30177,6,2209.9404705919,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DPD,30179,6,2456.3548464568607,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DPD,30419,6,5265.1161318874765,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DPD,30449,6,4228.42693330016,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DPD,30453,6,3642.2344276936155,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DPD,30455,6,3096.4884420991384,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DPD,30457,6,3033.5474025044095,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DPD,30459,6,2600.91439635438,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DPD,30519,6,4320.607386569162,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DPD,30539,6,3413.7063659864443,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DPD,30559,6,3962.3984605122114,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DPD,30625,6,2850.320934681696,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DPD,30627,6,1702.8075328692416,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DPD,30629,6,2022.2450338148715,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DPD,30655,6,2962.2877870695056,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DPD,30657,6,3491.1799180397643,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DPD,30659,6,2618.465789423123,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DPD,30823,6,3865.0840833133775,Mo-Di-Mi-Do-Fr-Sa
1,0.0,1.0,DPD,30826,6,4450.281781439314,Mo-Di-Mi-Do-Fr-Sa
