max_hold,fast_share,share_willing,total_cost_eur,total_dist_km_approx,fleet_size_approx,n_schedules,n_size_1,n_size_2,n_size_3,n_size_4,n_size_5,n_size_6
1,0.0,1.0,1894455.3285317284,293640.5759224175,1240.7338882923882,1,0,0,0,0,0,312
1,0.1,0.9,1894455.3285317284,293640.5759224175,1240.7338882923882,1,0,0,0,0,0,312
1,0.2,0.8,1894455.3285317284,293640.5759224175,1240.7338882923882,1,0,0,0,0,0,312
1,0.30000000000000004,0.7,1894455.3285317284,293640.5759224175,1240.7338882923882,1,0,0,0,0,0,312
1,0.4,0.6,1894455.3285317284,293640.5759224175,1240.7338882923882,1,0,0,0,0,0,312
1,0.5,0.5,1894455.3285317284,293640.5759224175,1240.7338882923882,1,0,0,0,0,0,312
1,0.6000000000000001,0.3999999999999999,1894455.3285317284,293640.5759224175,1240.7338882923882,1,0,0,0,0,0,312
1,0.7000000000000001,0.29999999999999993,1894455.3285317284,293640.5759224175,1240.7338882923882,1,0,0,0,0,0,312
1,0.8,0.19999999999999996,1894455.3285317284,293640.5759224175,1240.7338882923882,1,0,0,0,0,0,312
1,0.9,0.09999999999999998,1894455.3285317284,293640.5759224175,1240.7338882923882,1,0,0,0,0,0,312
1,1.0,0.0,1894455.3285317284,293640.5759224175,1240.7338882923882,1,0,0,0,0,0,312
2,0.0,1.0,1564736.31227965,242534.1284033459,1326.055396118074,18,0,0,307,5,0,0
2,0.1,0.9,1768596.466260186,274132.4522703287,1415.6949641083174,18,0,0,144,95,54,19
2,0.2,0.8,1773982.8650802684,274967.34408744203,1343.6089802538513,18,0,0,163,92,41,16
2,0.30000000000000004,0.7,1775897.210304017,275264.0675971225,1306.2103232729621,18,0,0,138,112,46,16
2,0.4,0.6,1788063.2924035639,277149.81032255216,1293.5921823049105,18,0,0,113,109,72,18
2,0.5,0.5,1811037.8342916612,280710.86431520747,1251.1870835191826,18,0,0,81,114,89,28
2,0.6000000000000001,0.3999999999999999,1814609.9690052231,281264.54519580986,1225.1837059179297,18,0,0,59,126,83,44
2,0.7000000000000001,0.29999999999999993,1828996.1740108416,283494.4069716804,1205.4413144550924,18,0,0,45,120,103,44
2,0.8,0.19999999999999996,1843837.2379738246,285794.7718859423,1220.1069883370797,18,0,0,42,83,126,61
2,0.9,0.09999999999999998,1857849.3496787518,287966.6492002056,1225.8687627293566,18,0,0,23,94,111,84
2,1.0,0.0,1894241.5826251642,293607.4453069,1240.6517532446471,18,0,0,8,18,22,264
3,0.0,1.0,1444099.256145459,223835.38470254626,1385.7137638790005,39,0,299,13,0,0,0
3,0.1,0.9,1722824.298935094,267037.7663349398,1422.7693843285444,39,0,119,94,57,28,14
3,0.2,0.8,1730812.0505398493,268275.86783367716,1384.5117208763236,39,0,124,112,42,20,14
3,0.30000000000000004,0.7,1739579.715140748,269634.8558468158,1341.262625478491,39,0,133,96,49,22,12
3,0.4,0.6,1758695.4174245107,272597.7897007992,1348.0714221413832,39,0,106,89,56,46,15
3,0.5,0.5,1787391.2484077122,277045.64350319596,1300.8932633043473,39,0,87,89,63,54,19
3,0.6000000000000001,0.3999999999999999,1797860.5978243067,278668.3926627678,1246.6200743060429,39,0,55,78,93,56,30
3,0.7000000000000001,0.29999999999999993,1812817.9793582128,280986.7868005227,1232.5294164361183,39,0,40,77,84,76,35
3,0.8,0.19999999999999996,1832485.8802648915,284035.3114410576,1215.3630392572938,39,0,19,78,69,88,58
3,0.9,0.09999999999999998,1849770.0902810297,286714.3639935592,1222.2409684182712,39,0,30,45,76,81,80
3,1.0,0.0,1894190.2203031813,293599.4841469928,1240.6391957903063,39,0,2,20,18,8,264
