penalty,share_willing,peak_b,peak_a,min_b,min_a,mean_b,mean_a,std_b,std_a,peak_red_pct,spread_b,spread_a,spread_red_pct,cv_b,cv_a,cv_red_pct
0.0,0.0,1239.0,1239.0,794.0,794.0,1066.1666666666667,1066.1666666666667,157.3777832690074,157.3777832690074,0.0,445.0,445.0,0.0,0.14761086440738538,0.14761086440738538,0.0
0.0,0.1,1223.0,1195.0,781.0,849.0,1052.5,1060.5,154.37065783366992,126.3736523172453,2.2894521668029437,442.0,346.0,21.71945701357466,0.1466704587493301,0.11916421717797765,18.753770736043386
0.0,0.2,1212.0,1161.0,814.0,892.0,1046.6666666666667,1056.8333333333333,137.83710192349037,100.87103978182571,4.207920792079208,398.0,269.0,32.41206030150754,0.13169149865301627,0.09544649719144525,27.522658510455685
0.0,0.3,1211.0,1149.0,810.0,941.0,1050.0,1060.6666666666667,140.14278433083882,83.81089825712803,5.119735755573906,401.0,208.0,48.12967581047381,0.1334693184103227,0.07901718880307482,40.79748833349589
0.0,0.4,1165.0,1143.0,829.0,963.0,1046.5,1060.5,123.68144565778653,70.58540925715455,1.888412017167382,336.0,180.0,46.42857142857143,0.11818580569305927,0.06655861316091896,43.68307363933487
0.0,0.5,1182.0,1142.0,837.0,986.0,1049.0,1060.1666666666667,120.48568379687272,53.13159762953365,3.3840947546531304,345.0,156.0,54.78260869565217,0.11485765852895398,0.0501162687906307,56.36662854484614
0.0,0.6,1220.0,1123.0,747.0,973.0,1059.0,1070.0,165.28762809115509,64.66838485689897,7.950819672131147,473.0,150.0,68.28752642706131,0.1560789689246035,0.060437742856914924,61.27745892138078
0.0,0.7,1232.0,1184.0,933.0,959.0,1066.8333333333333,1075.0,119.73540272896177,79.07211898008046,3.896103896103896,299.0,225.0,24.74916387959866,0.11223440343286528,0.07355545951635392,34.4626449051763
0.0,0.8,1394.0,1139.0,791.0,1037.0,1087.0,1092.1666666666667,199.4953633546404,46.03657965864391,18.29268292682927,603.0,102.0,83.08457711442786,0.18352839315054315,0.0421516065850547,77.03265099123985
0.0,0.9,1627.0,1192.0,820.0,1034.0,1110.8333333333333,1115.6666666666667,299.84690538117394,64.84031667617506,26.736324523663185,807.0,158.0,80.42131350681537,0.2699296972673734,0.0581180012036227,78.46920817087603
0.0,1.0,1123.0,1103.0,841.0,775.0,956.1666666666666,959.1666666666666,101.86936078461798,118.66830523213292,1.7809439002671417,282.0,328.0,-16.31205673758865,0.10653933496735365,0.12372021396920896,-16.126324617212937
0.25,0.0,1239.0,1239.0,794.0,794.0,1066.1666666666667,1066.1666666666667,157.3777832690074,157.3777832690074,0.0,445.0,445.0,0.0,0.14761086440738538,0.14761086440738538,0.0
0.25,0.1,1222.0,1196.0,790.0,849.0,1052.0,1060.0,152.587024350041,126.94565766500247,2.127659574468085,432.0,347.0,19.675925925925927,0.14504469995251046,0.11976005440094573,17.43231263179093
0.25,0.2,1193.0,1161.0,807.0,893.0,1048.5,1058.6666666666667,137.91845416767111,101.84432564785662,2.682313495389774,386.0,268.0,30.569948186528496,0.13153882133301967,0.09620055949104844,26.86527177593038
0.25,0.3,1172.0,1155.0,777.0,937.0,1045.5,1059.3333333333333,143.2825879163271,84.90151156879757,1.4505119453924915,395.0,218.0,44.81012658227848,0.1370469516177208,0.08014617202844328,41.51918661277248
0.25,0.4,1172.0,1145.0,828.0,950.0,1041.8333333333333,1056.0,129.13003781718126,80.67713430706374,2.303754266211604,344.0,195.0,43.31395348837209,0.12394500510367742,0.0763988014271437,38.360725901590236
0.25,0.5,1183.0,1135.0,789.0,956.0,1048.5,1061.6666666666667,139.7608671982254,70.25572337302255,4.057480980557903,394.0,179.0,54.568527918781726,0.13329601068023406,0.06617493567317664,50.35490159422343
0.25,0.6,1169.0,1133.0,807.0,964.0,1055.5,1067.5,136.84553335787032,64.57476287219335,3.0795551753635584,362.0,169.0,53.31491712707182,0.1296499605474849,0.0604915811449118,53.342383684909436
0.25,0.7,1196.0,1157.0,856.0,966.0,1060.3333333333333,1071.1666666666667,124.66060591328227,68.26248359579856,3.260869565217391,340.0,191.0,43.8235294117647,0.11756737432877926,0.06372722912319766,45.79514130766982
0.25,0.8,1203.0,1155.0,845.0,982.0,1074.1666666666667,1082.8333333333333,132.00214644719483,65.542098430449,3.9900249376558605,358.0,173.0,51.675977653631286,0.12288795635115111,0.06052833470566323,50.745104318681875
0.25,0.9,1262.0,1195.0,916.0,999.0,1094.8333333333333,1102.1666666666667,118.8754249904776,69.86105257342368,5.309033280507132,346.0,196.0,43.35260115606936,0.10857855837157339,0.0633851981612796,41.62273001971052
0.25,1.0,1120.0,1064.0,722.0,896.0,968.8333333333334,978.0,137.60729147347777,59.73608624608747,5.0,398.0,168.0,57.78894472361809,0.14203401837964333,0.0610798427874105,56.996328425947986
0.5,0.0,1239.0,1239.0,794.0,794.0,1066.1666666666667,1066.1666666666667,157.3777832690074,157.3777832690074,0.0,445.0,445.0,0.0,0.14761086440738538,0.14761086440738538,0.0
0.5,0.1,1226.0,1196.0,795.0,851.0,1051.3333333333333,1060.6666666666667,150.25666929180437,126.64859520210506,2.4469820554649266,431.0,345.0,19.953596287703018,0.14292010395542584,0.11940470949287088,16.45352459993241
0.5,0.2,1193.0,1172.0,786.0,893.0,1047.6666666666667,1061.0,149.47062141660703,108.75660899458019,1.760268231349539,407.0,279.0,31.44963144963145,0.14267001726052214,0.1025038727564375,28.153178415013
0.5,0.3,1181.0,1164.0,777.0,914.0,1047.3333333333333,1059.8333333333333,148.72883602942193,101.91450665467927,1.4394580863674853,404.0,250.0,38.118811881188115,0.14200716361816226,0.09616088063029968,32.28448609193895
0.5,0.4,1195.0,1161.0,800.0,905.0,1047.1666666666667,1056.0,142.38597777403035,98.82509802676645,2.8451882845188283,395.0,256.0,35.18987341772152,0.13597260331755245,0.09358437313140763,31.17409621639053
0.5,0.5,1223.0,1158.0,793.0,934.0,1051.0,1063.8333333333333,147.85262933069538,82.62303956322755,5.314799672935405,430.0,224.0,47.906976744186046,0.1406780488398624,0.07766539830477288,44.792098735189676
0.5,0.6,1179.0,1152.0,790.0,947.0,1054.8333333333333,1067.8333333333333,143.1284970460693,72.61519583852036,2.2900763358778624,389.0,205.0,47.30077120822622,0.1356882575883103,0.06800236850805716,49.88337994995697
0.5,0.7,1206.0,1153.0,832.0,953.0,1058.1666666666667,1068.8333333333333,135.08281410552073,71.41825163546547,4.39469320066335,374.0,200.0,46.524064171122994,0.12765740819548343,0.06681888504799514,47.657651841345135
0.5,0.8,1206.0,1165.0,834.0,966.0,1071.8333333333333,1081.3333333333333,138.30316940210253,70.9666588382648,3.399668325041459,372.0,199.0,46.505376344086024,0.12903421185081873,0.06562884602798842,49.13841446649484
0.5,0.9,1237.0,1171.0,819.0,986.0,1086.0,1095.8333333333333,143.96388435993242,64.99358942747098,5.335489086499596,418.0,185.0,55.74162679425837,0.13256342942903537,0.059309739401494435,55.25935044306887
0.5,1.0,1146.0,1079.0,758.0,889.0,994.5,1003.1666666666666,140.20092724372404,68.00710747169494,5.846422338568935,388.0,190.0,51.03092783505155,0.14097629687654503,0.0677924314388054,51.9121774789047
0.75,0.0,1239.0,1239.0,794.0,794.0,1066.1666666666667,1066.1666666666667,157.3777832690074,157.3777832690074,0.0,445.0,445.0,0.0,0.14761086440738538,0.14761086440738538,0.0
0.75,0.1,1222.0,1196.0,793.0,849.0,1052.0,1059.8333333333333,150.88936344222543,127.50437900976839,2.127659574468085,429.0,347.0,19.114219114219114,0.1434309538424196,0.1203060660573377,16.122661925882518
0.75,0.2,1205.0,1181.0,795.0,892.0,1047.6666666666667,1060.3333333333333,147.63016855191444,109.25688384109564,1.991701244813278,410.0,289.0,29.51219512195122,0.1409133011949549,0.10304012936915653,26.876931776227764
0.75,0.3,1201.0,1173.0,784.0,897.0,1047.0,1057.5,150.2118503980295,108.22338009875685,2.3313905079100747,417.0,276.0,33.81294964028777,0.14346881604396322,0.10233889371040837,28.668196662995665
0.75,0.4,1206.0,1170.0,783.0,913.0,1047.6666666666667,1060.3333333333333,147.23405403189395,97.24745069494966,2.985074626865672,423.0,257.0,39.2434988179669,0.14053520906639574,0.09171403712192676,34.73945943425712
0.75,0.5,1200.0,1161.0,788.0,921.0,1049.6666666666667,1062.6666666666667,147.74798362978314,89.0161034120606,3.25,412.0,240.0,41.74757281553398,0.14075705013952028,0.08376672215689517,40.48843587311295
0.75,0.6,1198.0,1156.0,816.0,939.0,1055.1666666666667,1066.8333333333333,142.3016748554516,79.32317862180427,3.5058430717863107,382.0,217.0,43.19371727748691,0.13486179894688194,0.07435386216697792,44.86662439060026
