penalty,share_willing,system_spread_before_smoothing,system_spread_after_smoothing,reduction_pct
0.0,0.0,445.0,445.0,0.0
0.0,0.1,346.0,335.0,3.179190751445087
0.0,0.2,269.0,258.0,4.089219330855019
0.0,0.3,208.0,190.0,8.653846153846153
0.0,0.4,180.0,152.0,15.555555555555555
0.0,0.5,156.0,95.0,39.1025641025641
0.0,0.6,150.0,85.0,43.333333333333336
0.0,0.7,225.0,86.0,61.77777777777778
0.0,0.8,102.0,73.0,28.431372549019606
0.0,0.9,158.0,91.0,42.40506329113924
0.0,1.0,328.0,178.0,45.73170731707317
0.25,0.0,445.0,445.0,0.0
0.25,0.1,347.0,339.0,2.3054755043227666
0.25,0.2,268.0,250.0,6.7164179104477615
0.25,0.3,218.0,183.0,16.05504587155963
0.25,0.4,195.0,178.0,8.717948717948717
0.25,0.5,179.0,167.0,6.70391061452514
0.25,0.6,169.0,147.0,13.017751479289942
0.25,0.7,191.0,162.0,15.18324607329843
0.25,0.8,173.0,164.0,5.202312138728324
0.25,0.9,196.0,133.0,32.142857142857146
0.25,1.0,168.0,70.0,58.333333333333336
0.5,0.0,445.0,445.0,0.0
0.5,0.1,345.0,342.0,0.8695652173913043
0.5,0.2,279.0,276.0,1.075268817204301
0.5,0.3,250.0,248.0,0.8
0.5,0.4,256.0,251.0,1.953125
0.5,0.5,224.0,221.0,1.3392857142857142
0.5,0.6,205.0,205.0,0.0
0.5,0.7,200.0,200.0,0.0
0.5,0.8,199.0,199.0,0.0
0.5,0.9,185.0,185.0,0.0
0.5,1.0,190.0,190.0,0.0
0.75,0.0,445.0,445.0,0.0
0.75,0.1,347.0,343.0,1.1527377521613833
0.75,0.2,289.0,286.0,1.038062283737024
0.75,0.3,276.0,274.0,0.7246376811594203
0.75,0.4,257.0,257.0,0.0
0.75,0.5,240.0,240.0,0.0
0.75,0.6,217.0,217.0,0.0
0.75,0.7,221.0,221.0,0.0
0.75,0.8,253.0,253.0,0.0
0.75,0.9,260.0,260.0,0.0
0.75,1.0,246.0,246.0,0.0
1.0,0.0,445.0,445.0,0.0
1.0,0.1,351.0,345.0,1.709401709401709
1.0,0.2,313.0,310.0,0.9584664536741214
1.0,0.3,286.0,286.0,0.0
1.0,0.4,267.0,267.0,0.0
1.0,0.5,259.0,259.0,0.0
1.0,0.6,255.0,255.0,0.0
1.0,0.7,267.0,267.0,0.0
1.0,0.8,318.0,318.0,0.0
1.0,0.9,291.0,291.0,0.0
1.0,1.0,274.0,274.0,0.0
2.0,0.0,445.0,445.0,0.0
2.0,0.1,373.0,370.0,0.8042895442359249
2.0,0.2,330.0,330.0,0.0
2.0,0.3,326.0,326.0,0.0
2.0,0.4,324.0,324.0,0.0
2.0,0.5,352.0,352.0,0.0
2.0,0.6,355.0,355.0,0.0
2.0,0.7,372.0,372.0,0.0
2.0,0.8,400.0,400.0,0.0
2.0,0.9,411.0,411.0,0.0
2.0,1.0,390.0,390.0,0.0
5.0,0.0,445.0,445.0,0.0
5.0,0.1,418.0,418.0,0.0
5.0,0.2,385.0,385.0,0.0
5.0,0.3,410.0,410.0,0.0
5.0,0.4,445.0,445.0,0.0
5.0,0.5,445.0,445.0,0.0
5.0,0.6,445.0,445.0,0.0
5.0,0.7,445.0,445.0,0.0
5.0,0.8,445.0,445.0,0.0
5.0,0.9,445.0,445.0,0.0
5.0,1.0,445.0,445.0,0.0
10.0,0.0,445.0,445.0,0.0
10.0,0.1,431.0,431.0,0.0
10.0,0.2,434.0,434.0,0.0
10.0,0.3,445.0,445.0,0.0
10.0,0.4,445.0,445.0,0.0
10.0,0.5,445.0,445.0,0.0
10.0,0.6,445.0,445.0,0.0
10.0,0.7,445.0,445.0,0.0
10.0,0.8,445.0,445.0,0.0
10.0,0.9,445.0,445.0,0.0
10.0,1.0,445.0,445.0,0.0
