penalty,share_willing,provider,system_smooth_swaps,system_smoothed_cost_eur,cost_pre_smoothing,provider_spread_before,provider_spread_after
0.0,0.0,DHL,0,563775.2206035123,563775.2206035123,175.0,175.0
0.0,0.0,Amazon,0,350810.6383067652,350810.6383067652,79.0,79.0
0.0,0.0,DPD,0,210178.8252010488,210178.8252010488,46.0,46.0
0.0,0.0,FedEx,0,167748.72604045804,167748.72604045804,31.0,31.0
0.0,0.0,GLS,0,186914.04044994732,186914.04044994732,30.0,30.0
0.0,0.0,Hermes,0,232267.79568581068,232267.79568581068,44.0,44.0
0.0,0.0,UPS,0,198052.502895174,198052.502895174,40.0,40.0
0.0,0.1,DHL,9,560301.6819946558,556022.2940476072,164.0,153.0
0.0,0.1,Amazon,0,331329.3901106594,331329.3901106594,76.0,76.0
0.0,0.1,DPD,0,184178.21162102936,184178.21162102936,24.0,24.0
0.0,0.1,FedEx,0,144019.51460413798,144019.51460413798,7.0,7.0
0.0,0.1,GLS,0,163290.98305733438,163290.98305733438,21.0,21.0
0.0,0.1,Hermes,0,209346.95046031117,209346.95046031117,41.0,41.0
0.0,0.1,UPS,0,172239.56817751203,172239.56817751203,13.0,13.0
0.0,0.2,DHL,5,557650.4476972999,554853.9032869486,141.0,129.0
0.0,0.2,Amazon,0,335210.54050856875,335210.54050856875,61.0,61.0
0.0,0.2,DPD,0,180861.61877738076,180861.61877738076,16.0,16.0
0.0,0.2,FedEx,0,139080.92190500713,139080.92190500713,8.0,8.0
0.0,0.2,GLS,0,163634.16160123498,163634.16160123498,10.0,10.0
0.0,0.2,Hermes,0,209387.74859488016,209387.74859488016,28.0,28.0
0.0,0.2,UPS,0,164776.08759923943,164776.08759923943,8.0,8.0
0.0,0.3,DHL,6,559284.3826206133,557554.0627311008,111.0,90.0
0.0,0.3,Amazon,0,338073.8753203347,338073.8753203347,43.0,43.0
0.0,0.3,DPD,0,177408.17555704678,177408.17555704678,11.0,11.0
0.0,0.3,FedEx,0,137002.4595255555,137002.4595255555,5.0,5.0
0.0,0.3,GLS,0,159744.08634772466,159744.08634772466,11.0,11.0
0.0,0.3,Hermes,0,206152.72059769032,206152.72059769032,21.0,21.0
0.0,0.3,UPS,0,161061.99966250636,161061.99966250636,12.0,12.0
0.0,0.4,DHL,5,553629.669410166,552890.9740862127,95.0,67.0
0.0,0.4,Amazon,0,336756.4755830434,336756.4755830434,26.0,26.0
0.0,0.4,DPD,0,173705.74511565888,173705.74511565888,11.0,11.0
0.0,0.4,FedEx,0,134272.76119818285,134272.76119818285,10.0,10.0
0.0,0.4,GLS,0,157109.94362493063,157109.94362493063,8.0,8.0
0.0,0.4,Hermes,0,203641.4785121887,203641.4785121887,18.0,18.0
0.0,0.4,UPS,0,161543.2040724402,161543.2040724402,14.0,14.0
0.0,0.5,DHL,9,551482.0473260114,550321.3938383416,95.0,35.0
0.0,0.5,Amazon,0,332160.34296716726,332160.34296716726,14.0,14.0
0.0,0.5,DPD,0,170712.094734533,170712.094734533,6.0,6.0
0.0,0.5,FedEx,0,131722.80426310503,131722.80426310503,12.0,12.0
0.0,0.5,GLS,0,151371.49814974383,151371.49814974383,9.0,9.0
0.0,0.5,Hermes,0,197729.63075459612,197729.63075459612,14.0,14.0
0.0,0.5,UPS,0,158815.33405766982,158815.33405766982,7.0,7.0
0.0,0.6,DHL,14,549462.2680948608,546860.4134060526,109.0,26.0
0.0,0.6,Amazon,0,325337.5465985646,325337.5465985646,12.0,12.0
0.0,0.6,DPD,0,166174.64355341205,166174.64355341205,13.0,13.0
0.0,0.6,FedEx,0,130113.08540552513,130113.08540552513,10.0,10.0
0.0,0.6,GLS,0,147891.49532975338,147891.49532975338,7.0,7.0
0.0,0.6,Hermes,0,193717.6769691752,193717.6769691752,4.0,4.0
0.0,0.6,UPS,0,155604.76014114066,155604.76014114066,16.0,16.0
0.0,0.7,DHL,18,546122.4982085165,543907.8623244872,165.0,26.0
0.0,0.7,Amazon,0,317270.4275669225,317270.4275669225,11.0,11.0
0.0,0.7,DPD,0,160048.9582834812,160048.9582834812,9.0,9.0
0.0,0.7,FedEx,0,127864.5607346208,127864.5607346208,12.0,12.0
0.0,0.7,GLS,0,143982.60601127805,143982.60601127805,7.0,7.0
0.0,0.7,Hermes,0,188104.37379556507,188104.37379556507,3.0,3.0
0.0,0.7,UPS,0,153107.56233380808,153107.56233380808,21.0,21.0
0.0,0.8,DHL,5,538488.5632068242,537125.8899518435,50.0,19.0
0.0,0.8,Amazon,0,304976.52243521204,304976.52243521204,3.0,3.0
0.0,0.8,DPD,0,156947.7415274981,156947.7415274981,14.0,14.0
0.0,0.8,FedEx,0,126629.11316984138,126629.11316984138,8.0,8.0
0.0,0.8,GLS,0,140427.63917643568,140427.63917643568,11.0,11.0
0.0,0.8,Hermes,0,183213.43854005472,183213.43854005472,9.0,9.0
