penalty,share_willing,provider,plz,schedule_idx_system_smoothed,schedule_size_system_smoothed,weekdays_system_smoothed,avg_wait_d_system_smoothed,dd_cost_system_smoothed
0.0,0.0,DHL,30159,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,21973.50194568585
0.0,0.0,DHL,30161,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,10909.00812046849
0.0,0.0,DHL,30163,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,9914.04927442146
0.0,0.0,DHL,30165,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,8565.397376626115
0.0,0.0,DHL,30167,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,13540.33589751315
0.0,0.0,DHL,30169,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,5441.748523674446
0.0,0.0,DHL,30173,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,8900.020227394843
0.0,0.0,DHL,30177,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,6717.193405547422
0.0,0.0,DHL,30179,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,7015.019470078845
0.0,0.0,DHL,30419,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,15260.397562746595
0.0,0.0,DHL,30449,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,7432.014762814106
0.0,0.0,DHL,30453,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,8728.871611104647
0.0,0.0,DHL,30455,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,7560.480077937329
0.0,0.0,DHL,30457,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,7333.849598031452
0.0,0.0,DHL,30459,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,6748.368740605874
0.0,0.0,DHL,30519,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,13335.327593044716
0.0,0.0,DHL,30539,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,9296.282509988963
0.0,0.0,DHL,30559,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,12462.48292952298
0.0,0.0,DHL,30625,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,8084.182917612831
0.0,0.0,DHL,30627,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,5566.459185356654
0.0,0.0,DHL,30629,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,6830.019894903581
0.0,0.0,DHL,30655,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,8770.048460462032
0.0,0.0,DHL,30657,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,9997.913539537092
0.0,0.0,DHL,30659,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,7841.281218861646
0.0,0.0,DHL,30823,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,10202.29191336214
0.0,0.0,DHL,30826,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,9289.171862330428
0.0,0.0,DHL,30827,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,8499.259441991915
0.0,0.0,DHL,30851,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,7091.396611882496
0.0,0.0,DHL,30853,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,8087.121413003322
0.0,0.0,DHL,30855,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,33181.974645551454
0.0,0.0,DHL,30880,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,17626.17972557684
0.0,0.0,DHL,30890,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,16098.04426372436
0.0,0.0,DHL,30900,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,17593.529073393336
0.0,0.0,DHL,30916,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,17062.590954336305
0.0,0.0,DHL,30926,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,14775.4174568136
0.0,0.0,DHL,30938,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,14888.20103197316
0.0,0.0,DHL,30952,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,11029.332668750209
0.0,0.0,DHL,30966,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,10564.896592403224
0.0,0.0,DHL,30974,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,7602.589230059956
0.0,0.0,DHL,30982,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,8026.683955967339
0.0,0.0,DHL,30989,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,8197.588934134921
0.0,0.0,DHL,31275,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,20490.51279819747
0.0,0.0,DHL,31303,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,14494.326252546623
0.0,0.0,DHL,31311,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,10485.698502104207
0.0,0.0,DHL,31319,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,12204.762656945872
0.0,0.0,DHL,31515,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,21088.897809861297
0.0,0.0,DHL,31535,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,22512.71676182417
0.0,0.0,DHL,31832,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,14457.781202836444
0.0,0.0,Amazon,30159,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,11555.196270293998
0.0,0.0,Amazon,30161,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,6224.7449789257325
0.0,0.0,Amazon,30163,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,5889.006483104628
0.0,0.0,Amazon,30165,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4750.233821598029
0.0,0.0,Amazon,30167,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,7175.254343343608
0.0,0.0,Amazon,30173,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,5164.654397653723
0.0,0.0,Amazon,30177,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4343.242376782357
0.0,0.0,Amazon,30179,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4390.652005410074
0.0,0.0,Amazon,30419,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,8519.368501277868
0.0,0.0,Amazon,30449,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,7005.60345798299
0.0,0.0,Amazon,30453,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4970.930164967193
0.0,0.0,Amazon,30455,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4820.378887430032
0.0,0.0,Amazon,30457,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4934.7989617734975
0.0,0.0,Amazon,30459,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4858.408897775894
