penalty,share_willing,provider,n_plz,init_cost_eur,balanced_cost_eur,cost_delta_eur,cost_delta_pct,imbalance_before,imbalance_after,imbalance_reduction_pct,max_fleet_before,max_fleet_after,total_routes_before,total_routes_after,swaps_made
0.0,0.0,DHL,48,563775.2206035123,563775.2206035123,0.0,0.0,176.0,176.0,0.0,122.0,122.0,2388.0,2388.0,0
0.0,0.0,Amazon,47,350810.6383067652,350810.6383067652,0.0,0.0,79.0,79.0,0.0,217.0,217.0,1129.0,1129.0,0
0.0,0.0,DPD,47,210178.8252010488,210178.8252010488,0.0,0.0,46.0,46.0,0.0,118.0,118.0,588.0,588.0,0
0.0,0.0,FedEx,37,167748.72604045804,167748.72604045804,0.0,0.0,31.0,31.0,0.0,97.0,97.0,506.0,506.0,0
0.0,0.0,GLS,46,186914.04044994735,186914.04044994735,0.0,0.0,30.0,30.0,0.0,95.0,95.0,492.0,492.0,0
0.0,0.0,Hermes,47,232267.79568581068,232267.79568581068,0.0,0.0,44.0,44.0,0.0,127.0,127.0,681.0,681.0,0
0.0,0.0,UPS,40,198052.50289517397,198052.50289517397,0.0,0.0,40.0,40.0,0.0,118.0,118.0,613.0,613.0,0
0.0,0.1,DHL,48,551849.0606092087,556022.2940476072,4173.233438398573,0.756227333936488,176.0,166.0,5.681818181818182,121.0,116.0,2362.0,2364.0,5
0.0,0.1,Amazon,47,329656.72365269973,331329.3901106594,1672.6664579596836,0.5073964333037153,78.0,76.0,2.5641025641025643,216.0,216.0,1123.0,1125.0,2
0.0,0.1,DPD,47,180265.12249470345,184178.21162102933,3913.089126325882,2.1707411129631335,41.0,24.0,41.46341463414634,115.0,109.0,571.0,585.0,17
0.0,0.1,FedEx,37,140303.68834022692,144019.51460413795,3715.8262639110326,2.6484166652129675,37.0,7.0,81.08108108108108,97.0,89.0,503.0,513.0,14
0.0,0.1,GLS,46,160379.32290656317,163290.98305733438,2911.660150771204,1.8154835037354125,30.0,21.0,30.0,95.0,92.0,482.0,487.0,8
0.0,0.1,Hermes,47,207347.27845618755,209346.9504603111,1999.6720041235676,0.9644071622315015,45.0,41.0,8.88888888888889,126.0,126.0,676.0,681.0,4
0.0,0.1,UPS,40,168331.70058066273,172239.56817751203,3907.8675968493044,2.321528020788156,37.0,13.0,64.86486486486487,114.0,108.0,598.0,608.0,12
