penalty,share_willing,provider,plz,weekly_parcels,schedule_idx_init,schedule_idx_balanced,schedule_size_init,schedule_size_balanced,weekdays_init,weekdays_balanced,avg_wait_d_init,avg_wait_d_balanced,dd_cost_init,dd_cost_balanced,veh_init,veh_balanced
0.0,0.0,DHL,30159,23058,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,21973.50194568585,21973.50194568585,104.0,104.0
0.0,0.0,DHL,30161,11554,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,10909.00812046849,10909.00812046849,53.0,53.0
0.0,0.0,DHL,30163,10484,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,9914.04927442146,9914.04927442146,48.0,48.0
0.0,0.0,DHL,30165,8599,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,8565.397376626115,8565.397376626115,41.0,41.0
0.0,0.0,DHL,30167,13892,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,13540.33589751315,13540.33589751315,65.0,65.0
0.0,0.0,DHL,30169,5294,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,5441.748523674446,5441.748523674446,25.0,25.0
0.0,0.0,DHL,30173,8547,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,8900.020227394843,8900.020227394843,40.0,40.0
0.0,0.0,DHL,30177,6260,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,6717.193405547422,6717.193405547422,31.0,31.0
0.0,0.0,DHL,30179,6322,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,7015.019470078845,7015.019470078845,31.0,31.0
0.0,0.0,DHL,30419,14775,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,15260.397562746597,15260.397562746597,66.0,66.0
0.0,0.0,DHL,30449,7431,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,7432.014762814106,7432.014762814106,35.0,35.0
0.0,0.0,DHL,30453,8150,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,8728.871611104647,8728.871611104647,38.0,38.0
0.0,0.0,DHL,30455,6748,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,7560.480077937329,7560.480077937329,33.0,33.0
0.0,0.0,DHL,30457,6736,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,7333.849598031452,7333.849598031452,33.0,33.0
0.0,0.0,DHL,30459,6561,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,6748.368740605874,6748.368740605874,31.0,31.0
0.0,0.0,DHL,30519,12645,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,13335.327593044716,13335.327593044716,57.0,57.0
0.0,0.0,DHL,30539,8372,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,9296.282509988963,9296.282509988963,40.0,40.0
0.0,0.0,DHL,30559,12320,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,12462.482929522981,12462.482929522981,55.0,55.0
0.0,0.0,DHL,30625,7084,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,8084.182917612831,8084.182917612831,35.0,35.0
0.0,0.0,DHL,30627,4809,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,5566.459185356654,5566.459185356654,24.0,24.0
0.0,0.0,DHL,30629,5907,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,6830.019894903581,6830.019894903581,29.0,29.0
0.0,0.0,DHL,30655,7945,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,8770.048460462032,8770.048460462032,38.0,38.0
0.0,0.0,DHL,30657,9056,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,9997.913539537092,9997.913539537092,42.0,42.0
0.0,0.0,DHL,30659,6829,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,7841.281218861646,7841.281218861646,32.0,32.0
0.0,0.0,DHL,30823,9437,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,10202.29191336214,10202.29191336214,44.0,44.0
0.0,0.0,DHL,30826,8281,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,9289.171862330428,9289.171862330428,40.0,40.0
0.0,0.0,DHL,30827,8048,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,8499.259441991915,8499.259441991915,37.0,37.0
0.0,0.0,DHL,30851,6654,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,7091.396611882496,7091.396611882496,31.0,31.0
0.0,0.0,DHL,30853,7164,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,8087.121413003322,8087.121413003322,33.0,33.0
0.0,0.0,DHL,30855,32854,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,33181.974645551454,33181.974645551454,145.0,145.0
0.0,0.0,DHL,30880,16161,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,17626.17972557684,17626.17972557684,74.0,74.0
