cluster_id,n_cells,mean_actual_cost,mean_pred_cost,cost_mape_pct,cost_median_ape_pct,cost_bias_pct,total_actual_cost_eur,cost_r2,n_providers_saving,mean_actual_saving_pct,mean_predicted_saving_pct,saving_bias_pp,saving_mae_pp,n_members,is_merged,member_plz_list,raumtyp_3,raumtyp_8,raumtyp_8_name,einwohner
30159,49,2270.949,3413.931,57.298,51.851,48.491,111276.49,-1.035,7,9.611,-30.662,-40.273,49.808,4,True,"30159,30171,30173,30175",urban,2,Zentrumsnah hochverdichtete Wohnnutzung,59203.0
30161,29,2270.305,2175.637,5.527,3.235,-4.547,65838.85,0.982,7,9.523,15.42,5.898,5.898,1,False,30161,urban,2,Zentrumsnah hochverdichtete Wohnnutzung,50684.0
30163,92,1672.693,1761.548,18.459,3.917,6.587,153887.79,0.633,7,12.93,8.293,-4.637,16.847,4,True,"30163,30165,30177,30179",suburban,5,Städtisch mit gewerblicher Prägung,74338.0
30167,29,1609.915,2487.284,53.341,52.554,53.341,46687.53,-0.844,7,15.624,-28.922,-44.546,44.546,2,True,"30167,30451",urban,3,Zentrumsnah verdichtete Mischnutzung,33453.0
30419,29,2589.323,2519.539,5.465,3.42,-3.833,75090.36,0.994,7,17.824,20.948,3.124,3.124,1,False,30419,suburban,5,Städtisch mit gewerblicher Prägung,40538.0
30449,55,1553.991,1828.712,31.34,20.136,22.297,85469.49,0.203,7,13.117,-5.301,-18.418,27.521,3,True,"30169,30449,30459",urban,3,Zentrumsnah verdichtete Mischnutzung,52274.0
30453,28,1714.773,1571.78,9.438,6.506,-8.684,48013.65,0.955,7,20.179,28.156,7.977,7.977,1,False,30453,suburban,4,Städtisch mit Verdichtungsansätzen,17864.0
30455,28,1396.398,1298.104,8.123,3.791,-7.383,39099.14,0.967,7,19.479,27.369,7.89,7.89,1,False,30455,suburban,4,Städtisch mit Verdichtungsansätzen,21665.0
30457,30,1364.724,1226.303,12.106,8.253,-11.528,40941.73,0.943,7,9.018,21.918,12.9,12.9,1,False,30457,suburban,4,Städtisch mit Verdichtungsansätzen,18093.0
30519,28,2562.893,2459.617,6.253,6.128,-3.456,71760.99,0.982,7,13.97,18.334,4.363,5.139,2,True,"30519,30521",urban,3,Zentrumsnah verdichtete Mischnutzung,31405.0
30539,28,1918.675,1809.078,7.155,5.799,-6.056,53722.91,0.964,7,14.409,20.334,5.925,6.468,1,False,30539,rural,7,Umland dörflich mit geringem gewerblichem Einfluss,19961.0
30559,102,1803.44,1719.012,12.729,8.464,-3.16,183950.9,0.963,7,13.454,17.871,4.417,10.937,4,True,"30559,30629,30655,30659",suburban,4,Städtisch mit Verdichtungsansätzen,71927.0
30625,51,1314.293,1308.614,16.607,12.519,0.398,67028.94,0.889,7,11.565,14.873,3.308,14.841,2,True,"30625,30627",suburban,4,Städtisch mit Verdichtungsansätzen,33250.0
30657,30,1917.639,1831.623,7.082,5.552,-4.422,57529.16,0.977,7,9.773,15.778,6.006,6.17,1,False,30657,rural,8,Umland dörflich ohne gewerblichen Einfluss,16117.0
30823,30,1695.769,1603.485,6.547,3.146,-5.454,50873.06,0.982,7,16.593,22.621,6.028,6.028,1,False,30823,suburban,4,Städtisch mit Verdichtungsansätzen,26279.0
30827,54,1699.266,1624.109,8.78,5.04,-3.929,91760.37,0.957,7,17.31,20.82,3.51,6.367,2,True,"30826,30827",rural,7,Umland dörflich mit geringem gewerblichem Einfluss,33231.0
30853,53,1446.18,1430.201,13.111,10.376,-1.134,76647.55,0.92,7,10.602,12.147,1.545,11.246,2,True,"30851,30853",suburban,6,Umland Verstädtert,30958.0
30855,30,5843.752,5377.102,5.411,2.419,-4.477,175312.56,0.891,7,8.618,14.252,5.633,5.813,2,True,"30669,30855",suburban,4,Städtisch mit Verdichtungsansätzen,19799.0
