model,mape_mean,mape_std,r2_mean,overall_median_bias_pct,topend_mape,topend_bias_pct,fw6_mape,fw6_bias_pct,fit_time_s,error
LGB-logT,3.247903838013144,0.5228306418404175,0.9948113013163933,-0.1828089940857642,3.157753556835548,-0.5552574699659513,1.9332345976582739,-0.31065119006176933,19.686915636062622,
LGB-raw,3.281052672177424,0.5272150059989001,0.9946665871373371,-0.03720675404008712,3.2479636178699494,-0.5199566022716252,2.140895361793711,-0.299094259331447,14.651904582977295,
LGB-quantile50,3.69440852340572,0.5093566199130619,0.9933141195547999,-0.08271082938500125,3.6323289059950614,-0.9317444197065843,2.4775468994220704,-0.2608659795579778,18.279274940490723,
LGB-quantile55,3.8384452748729805,0.49532820537823286,0.9927368294715301,-0.026431005246304984,3.6967190825886758,-0.34195276433261285,2.3624086429305318,-0.4866070647414366,21.70746397972107,
LGB-huber,3.2505546901240763,0.5890776823777948,0.9948629667942619,-0.1318686367567877,3.2057256508065373,-0.5564358954547084,2.0317908174715154,-0.23435279027541928,11.918128967285156,
LGB-tweedie,3.259094306219322,0.5728897147472668,0.9955074101220275,-0.23178140693359206,3.171682967413234,-0.7246967017783643,2.120460611457646,-0.2747748778638536,8.434081792831421,
LGB-monotonic,,,,,,,,,,"Check failed: (static_cast<size_t>(train_data_->num_total_features())) == (config->monotone_constraints.size()) at D:\a\1\s\lightgbm-python\src\boosting\gbdt.cpp, line 58 .
"
XGBoost,3.2401926902976554,0.5072568588544808,0.9957158338993217,-0.02552074304325052,3.102924878193899,-0.032157726146003804,2.0145556183747826,-0.17807384712342791,36.46366214752197,
RF,3.838198269314531,0.6196679084187824,0.9934246911957885,0.18254695944509577,3.7691133755635144,-0.1705642443960852,2.817450567569324,0.599937446272366,29.84031629562378,
MLP-5seed,8.443766316989997,2.7934088531237995,0.939754730922008,-2.7402323132607624,10.819483351944745,-5.713371760274788,8.64051112282855,-2.7142578830903417,203.91575384140015,
Daganzo-Hybrid,2.9141449678929745,0.3068257196634997,0.9977151449970707,-0.025223947018182796,2.325216338639479,-0.5895711789666502,1.4288916222229853,-0.28478414163743443,9.895625114440918,
