penalty,total_cost_eur,avg_wait_days,max_wait_days_per_plz,n_pkts_weekly,n_batched_plz,n_daily_plz,mix_1day,mix_2day,mix_3day,mix_4day,mix_5day,mix_6day,pkts_1day,pkts_2day,pkts_3day,pkts_4day,pkts_5day,pkts_6day,cost_savings_pct,is_pareto
0.0,1470596.2284065243,0.966189940861194,1.0,1263130,312,0,0,304,8,0,0,0,0.0,1177717.0,85413.0,0.0,0.0,0.0,22.860669545864944,True
0.025,1471138.4119108706,0.9354798529578638,1.0,1263130,312,0,0,296,15,0,1,0,0.0,1115694.0,114582.0,0.0,32854.0,0.0,22.83222960313922,True
0.05,1475813.2109395673,0.8370348525752165,1.0,1263130,312,0,0,265,43,3,1,0,0.0,853494.0,341776.0,35006.0,32854.0,0.0,22.587015546339924,True
0.075,1482026.5767593868,0.7615843183203629,1.0,1263130,311,1,0,243,59,4,5,1,0.0,702897.0,411309.0,55805.0,60265.0,32854.0,22.261096799950355,True
0.1,1489392.7260041684,0.6942980268592043,1.0,1263130,310,2,0,222,73,9,6,2,0.0,575733.0,475697.0,97389.0,66682.0,47629.0,21.874709421965996,True
0.125,1498615.6638283264,0.6298170681824778,1.0,1263130,310,2,0,204,76,13,17,2,0.0,497810.0,427848.0,130035.0,159808.0,47629.0,21.390925202454863,True
0.15,1507005.2357142838,0.5819337677040368,1.0,1263130,308,4,0,178,95,17,18,4,0.0,419151.0,453411.0,135132.0,170857.0,84579.0,20.950854742882942,True
0.2,1526399.6424432686,0.4935208569189236,1.0,1263130,302,10,0,129,123,31,19,10,0.0,268080.0,455697.0,215868.0,160579.0,162906.0,19.93353161860828,True
0.25,1546677.0300078052,0.42205038277928636,1.0,1263130,289,23,0,110,129,31,19,23,0.0,212365.0,407741.0,210813.0,135657.0,296554.0,18.869892211765627,True
0.3,1573331.2807613155,0.3446889868817936,1.0,1263130,265,47,0,91,130,29,15,47,0.0,169168.0,367982.0,148886.0,81445.0,495649.0,17.471757892388037,True
0.4,1615353.4510484682,0.2494893637234489,1.0,1263130,249,63,0,55,126,39,29,63,0.0,95339.0,286259.0,143880.0,116895.0,620757.0,15.267507658662746,True
0.5,1635493.8343076096,0.21379747136082589,1.0,1263130,236,76,0,35,126,46,29,76,0.0,60817.0,274220.0,137670.0,104704.0,685719.0,14.211054738622781,True
0.6,1664645.8126595696,0.17135792304302275,1.0,1263130,219,93,0,22,107,64,26,93,0.0,35418.0,215377.0,161491.0,81542.0,769302.0,12.681903467834948,True
0.75,1705278.3990873601,0.12423727829545123,1.0,1263130,190,122,0,11,93,53,33,122,0.0,13292.0,180682.0,110556.0,80400.0,878200.0,10.550543104524476,True
1.0,1752954.0788446644,0.08123655786287502,1.0,1263130,147,165,0,3,65,52,27,165,0.0,2304.0,109024.0,106873.0,51315.0,993614.0,8.049741086686325,True
1.5,1829460.4327274929,0.032349006040550056,0.6666666666666666,1263130,81,231,0,0,23,27,31,231,0.0,0.0,34907.0,46647.0,45725.0,1135851.0,4.036641637625937,True
2.0,1881077.5530641298,0.008383671250517893,0.5,1263130,33,279,0,0,4,8,21,279,0.0,0.0,4823.0,11373.0,26323.0,1220611.0,1.3290934841446098,True
3.0,1903898.8326094383,0.0005324075906676273,0.16666666666666666,1263130,5,307,0,0,0,0,5,307,0.0,0.0,0.0,0.0,4035.0,1259095.0,0.1320155981641295,True
5.0,1906415.5985653787,0.0,0.0,1263130,0,312,0,0,0,0,0,312,0.0,0.0,0.0,0.0,0.0,1263130.0,0.0,True
10.0,1906415.5985653787,0.0,0.0,1263130,0,312,0,0,0,0,0,312,0.0,0.0,0.0,0.0,0.0,1263130.0,0.0,True
