provider,cluster_id,raumtyp_3,raumtyp_8,raumtyp_8_name,baseline_routes,baseline_distance_km,baseline_parcels,baseline_cost_eur,saml_routes,saml_distance_km,saml_parcels,saml_cost_eur,fixed_routes,fixed_distance_km,fixed_parcels,fixed_cost_eur,actual_saving_abs,avg_demand,area_km2,hub_dist_km,actual_saving_pct,actual_fixed_saving_pct,routes_delta_pct,distance_delta_pct,weekly_parcels,demand_per_area,parcels_per_route_baseline,parcels_per_route_saml,baseline_eur_per_parcel,saml_eur_per_parcel,fixed_eur_per_parcel,baseline_eur_per_km,b2c_share
Amazon,30159,urban,2,Zentrumsnah hochverdichtete Wohnnutzung,38,1558.94,7321,10169.55,36,1400.6100000000001,7321,9337.55,38,1486.9699999999998,7321,9851.39,832.0,2129.666666666667,6.7310008289087495,14.447597883477325,8.18128629093716,3.1285553441401035,-5.2631578947368425,-10.156260022836024,7321,1087.6540036300817,192.6578947368421,203.36111111111111,1.389093020079224,1.2754473432591176,1.3456344761644583,6.523374857274814,0.7
Amazon,30161,urban,2,Zentrumsnah hochverdichtete Wohnnutzung,24,934.15,4512,6193.16,22,807.69,4512,5493.0,22,817.18,4512,5547.53,700.1599999999999,752.0,1.7979843382791898,12.74,11.305375607928745,10.424888102358087,-8.333333333333334,-13.537440453888554,4512,2509.4768090796238,188.0,205.0909090909091,1.3725975177304963,1.2174202127659575,1.2295057624113475,6.629727559813735,0.7
Amazon,30163,suburban,5,Städtisch mit gewerblicher Prägung,73,2906.05,13730,18913.489999999998,66,2440.4,13730,16406.32,72,2732.51,13730,18097.49,2507.1699999999987,2288.3333333333335,19.436906373559538,12.078259697816046,13.25598818620994,4.314380899558973,-9.58904109589041,-16.023468281688203,13730,706.3881327677345,188.08219178082192,208.03030303030303,1.377530225782957,1.194924981791697,1.3180983248361253,6.508315410953011,0.7
Amazon,30167,urban,3,Zentrumsnah verdichtete Mischnutzung,17,602.72,3232,4404.56,16,509.22,3232,3952.66,16,530.24,3232,4016.02,451.90000000000055,955.0,4.343746915001259,10.62,10.259821639391916,8.821312457998085,-5.882352941176471,-15.513007698433766,3232,744.0580823984454,190.11764705882354,202.0,1.3627970297029703,1.2229764851485148,1.2425804455445544,7.307804619060261,0.7
Amazon,30419,suburban,5,Städtisch mit gewerblicher Prägung,32,1010.62,6859,8394.95,32,776.87,6859,7645.14,33,874.0,6859,8084.77,749.8100000000004,1143.1666666666667,23.77191867081394,6.74,8.931679164259469,3.694840350448785,0.0,-23.129366131681543,6859,288.53371471530244,214.34375,214.34375,1.2239320600670653,1.1146143752733635,1.1787097244496283,8.306732500841068,0.7
Amazon,30449,urban,3,Zentrumsnah verdichtete Mischnutzung,34,1400.96,6228,9181.9,31,1163.05,6228,8000.469999999999,33,1252.9299999999998,6228,8557.51,1181.4299999999998,1393.6666666666665,9.465034651991742,13.487196167377396,12.86694474999728,6.800226532634851,-8.823529411764707,-16.981926678848794,6228,658.0007605877526,183.1764705882353,200.90322580645162,1.4742935131663455,1.284596981374438,1.3740382145150931,6.554005824577432,0.7
Amazon,30453,suburban,4,Städtisch mit Verdichtungsansätzen,18,702.47,3593,4943.95,18,535.35,3593,4470.51,18,584.36,3593,4608.53,473.4399999999996,598.8333333333334,9.157258958740025,9.82,9.576148626098556,6.784453726271505,0.0,-23.79033980098794,3593,392.3663201170814,199.61111111111111,199.61111111111111,1.3759949902588366,1.24422766490398,1.2826412468689117,7.037951798653323,0.7
Amazon,30455,suburban,4,Städtisch mit Verdichtungsansätzen,17,675.72,3165,4742.4,16,534.24,3165,4113.69,17,597.54,3165,4466.27,628.71,527.5,6.967819653017212,9.84,13.25721153846154,5.822579284750321,-5.882352941176471,-20.937666489078318,3165,454.2310446610782,186.1764705882353,197.8125,1.498388625592417,1.2997440758293837,1.4111437598736178,7.018291600071034,0.7
Amazon,30457,suburban,4,Städtisch mit Verdichtungsansätzen,17,806.95,3134,4871.15,15,654.96,3134,4041.48,16,722.82,3134,4396.27,829.6699999999996,522.3333333333334,6.068989648841514,13.37,17.03232296275006,9.748827278979281,-11.764705882352942,-18.83511989590433,3134,516.3956739649799,184.35294117647058,208.93333333333334,1.5542916400765794,1.2895596681557115,1.4027664326738993,6.036495445814486,0.7
Amazon,30519,urban,3,Zentrumsnah verdichtete Mischnutzung,27,1437.98,5505,7909.63,26,1312.02,5505,7172.18,27,1382.8,5505,7561.11,737.4499999999998,918.0,12.113461405690837,17.09,9.323444965188003,4.406274376930406,-3.7037037037037037,-8.759509868009292,5505,454.4530927727876,203.88888888888889,211.73076923076923,1.4368083560399636,1.3028483197093552,1.3734986376021798,5.500514610773446,0.7
