provider,plz,base_day,agg_k,scale,p_keep,noise_sigma,b2c_scale,b2b_scale,seed,is_baseline,actual_cost_eur,actual_distance_km,actual_duration_h,actual_n_routes,n_vehicles_planned,solve_time_s,vroom_status,n_parcels,n_stops,area_km2,hub_dist_km,parcels_per_stop,load_factor,min_vehicles,parcels_per_km2,ch_area_km2,ch_perimeter_km,mean_nn_dist_km,mean_inter_stop_dist_km,stop_density_ch,centroid_hub_dist_km,max_hub_dist_km,coord_std_x,coord_std_y,aspect_ratio,b2c_share,demand_std,max_stop_demand,demand_cap_ratio,provider_idx,day_idx,delivery_frequency,n_merged_members,n_components_post_union,hull_overhead_pct,bbox_overhead_pct,max_member_centroid_km,mean_member_centroid_km,isoperimetric_q
GLS,30627,1,2,1.0,1.0,0.0,1.0,1.0,42,True,537.96,83.034,3.535277777777778,2,2,8.0794,OK,293.0,68.0,3.3903855235675278,11.43,4.3088235294117645,1.2739130434782608,2,86.4208503614926,2.333868813667487,6.44684949283879,0.1062102278336074,0.9610938974519238,29.136170637261944,11.735398414634457,12.837111942889,0.5853819447575136,0.5033782408098897,1.1046320302943975,0.8430034129692833,3.982525628369871,22.0,0.6369565217391304,4.0,1.0,2.0,1,1,27.7666291911419,165.26608140479462,0.0,0.0,0.3697481373076522
FedEx,30625,5,2,1.0,1.0,0.0,1.0,1.0,42,True,842.02,156.742,5.928888888888889,3,3,8.3781,OK,608.0,92.0,12.254281076148748,12.66,6.608695652173913,2.643478260869565,3,49.61531371949575,7.112256581268834,10.655245464999338,0.1269732758853452,1.555247540783689,12.935416340616202,12.499489104833236,13.883564068879044,0.9992803223791824,0.7512094322943593,1.2215442874840057,0.1414473684210526,11.114968874508174,86.0,0.881159420289855,3.0,5.0,2.0,2,1,12.629023466614369,84.34017846266995,1.9836295921513396,1.9836295921513396,0.4497993608805271
Amazon,30167,5,1,1.0,1.0,0.0,1.0,1.0,42,True,810.35,116.287,5.4875,3,3,8.4984,OK,681.0,125.0,5.368928981069905,10.65,5.448,2.9608695652173918,3,126.84094023242086,3.8649008458276666,7.683707204043244,0.088902801205432,1.2097560994821992,32.34235624309563,10.958384157467991,11.848614926042025,0.5797247264974731,0.7798750140013716,1.1952881354455012,0.973568281938326,4.9436116352318775,31.0,0.9869565217391304,0.0,5.0,1.0,2,1,29.77255982479476,109.76107927337074,1.274823622069441,1.274823622069441,0.3382140829347032
Hermes,30177,2,2,1.0,1.0,0.0,1.0,1.0,42,True,744.57,78.729,4.066944444444444,3,3,4.363,OK,624.0,67.0,3.576189607493106,7.86,9.313432835820896,2.713043478260869,3,174.48739258470732,1.4898294585562235,5.068500495056843,0.0993339263785963,0.7883051096874005,44.971590281835965,7.579233623070985,8.126591870933058,0.4918924426025804,0.3943195119632999,1.133903739968647,0.9583333333333334,19.135189865813008,154.0,0.9043478260869564,5.0,2.0,2.0,1,1,16.55826427116613,59.77130347912517,0.0,0.0,0.4725620432976825
Amazon,30657,1,1,1.0,1.0,0.0,1.0,1.0,42,True,830.66,146.092,5.728611111111111,3,3,13.0525,OK,604.0,117.0,12.670949194485749,15.05,5.162393162393163,2.626086956521739,3,47.66809421529793,6.773416784306966,10.98852314721888,0.1134906253181158,1.6481504850882922,17.27340922989889,14.770792111060691,16.303734057932825,0.5873214816354837,1.2374128822479786,1.7900267271873078,0.9867549668874172,8.782224923938927,85.0,0.8753623188405797,0.0,1.0,1.0,1,1,29.68495585197271,85.03880330769296,0.0,0.0,0.3106477564289452
Hermes,30659,5,3,1.0,1.0,0.0,1.0,1.0,42,True,1026.09,127.711,6.102222222222222,4,4,22.0033,OK,742.0,112.0,11.3882150903338,10.33,6.625,3.226086956521739,4,65.1550742688204,5.648465979231911,10.435087962449384,0.1163921567618199,1.2134901587892797,19.828392418720025,8.577947147214541,11.296801134699304,0.7030548227642786,0.6692268506417287,1.610457331311442,0.9528301886792452,7.383772022869767,44.0,0.8065217391304348,5.0,5.0,3.0,1,1,26.038462514572014,69.45541042751702,0.0,0.0,0.3261436462428244
UPS,31319,1,2,1.0,1.0,0.0,1.0,1.0,42,True,683.44,187.571,6.444166666666667,2,2,22.2034,OK,401.0,116.0,101.18549289373648,22.42,3.456896551724138,1.7434782608695651,2,3.963018694993405,54.38302278394416,30.54752923589103,0.1954283006079411,3.477710674523202,2.133018616137818,21.431338384685613,27.621013585470937,2.237953148932609,1.8793892599509343,1.419162394651211,0.2169576059850374,4.537947738675889,31.0,0.8717391304347826,6.0,1.0,2.0,1,1,23.65548682082195,48.24635838444042,0.0,0.0,0.3372155354338614
DHL,30539,4,2,1.0,1.0,0.0,1.0,1.0,42,True,2283.93,178.355,8.96861111111111,10,10,9.796,OK,2297.0,154.0,19.21423828970633,3.99,14.915584415584416,9.986956521739131,10,119.54676346605814,8.901760567273538,11.81638374990197,0.1027029202414586,1.451832081192885,17.299948570417197,3.849239985450818,6.31002253994786,0.7043867201491597,0.9569403015901312,1.4494418083000804,0.8341314758380496,28.87499958929584,334.0,0.9986956521739132,1.0,4.0,2.0,1,1,19.223443687674884,59.97475862282031,0.0,0.0,0.4417525163807731
GLS,30966,2,3,1.0,1.0,0.0,1.0,1.0,42,True,1052.43,133.364,6.772777777777778,4,4,28.6053,OK,876.0,203.0,31.83238567652256,6.33,4.315270935960591,3.808695652173913,4,27.519143833636043,19.739683372252152,17.09314891687844,0.0985457517270824,2.445943529249974,10.283852895297946,6.3136377869468605,8.444645852944086,1.1476398460464987,1.6123295979358332,1.2334285796297215,0.906392694063927,4.2425377316443775,33.0,0.9521739130434784,4.0,2.0,3.0,1,1,27.261911412892086,101.6137880336276,0.0,0.0,0.3199511340498151
GLS,30966,3,1,1.0,1.0,0.0,1.0,1.0,42,True,583.96,85.965,4.781666666666666,2,2,18.0151,OK,297.0,145.0,31.83238567652256,6.33,2.0482758620689654,1.291304347826087,2,9.330120683321809,19.07243864498125,16.813811683804317,0.127062854611042,2.416908656701654,7.602593601115371,6.319961434441293,8.444645852944086,1.1365285817783397,1.5851233171876136,1.2299216285992234,0.9124579124579124,1.5858470356411565,12.0,0.6456521739130435,4.0,3.0,1.0,1,1,27.261911412892086,101.6137880336276,0.0,0.0,0.3199511340498151
